ID,Comments
1,"Pshhh. There's no differences between races
👀"
2,"For my TL
👀"
3,You should have one 👀
4,"Click the link below!👀 #NBA2K23 

My 6’5 build attributes &amp; badges

NBA 2K23 MYCAREER - 6’5 Build MAKE FULL-COURT SHOT| GAMEPLAY"
5,people that think Lover is happy 👀
6,"Guys I remembered a speech about the Red album where taylor says ""she was through a hard moment and only wished someone in the crowds would say ""I've been through it as well"", and Swifties did it"", she gets really emotional and almost cry 👀"
7,👀 I get it... I met my bf in 2006.. And I was a junior in high school...oh I hate feeling old lol
8,#JuryDuty is a crazy concept tbh 👀 James Marsden would’ve clued me in that something strange was going on bc he is crazy
9,Potomac Mills Round 1 has Music Diver. Idk when we got it but its hella popping off 👀
10,"We will get him InshaAllah, the question is only when 👀"
11,"Goes on to cite that there's a shortage of labour. Suggests that's because of Victoria's big build. Pressed on whether infrastructure dev should be halted (to free up Labor). Says no. 👀

Not a single tangible position on anything that means anything."
12,👀👀👀👀👀👀 you've watched it???? whos ur fave??? why is everyone going rabid for it????? is titty jesus my type??????
13,Nah… but how they smoke tho? 👀
14,"I claimed my "".stark"" domain name on yours before it's too late for a big surprise 👀 ... 

#StarkNet #StarknetIdOdyssey"
15,"Juan Soto has career ownage on Morton and is 2/2 on the day so far. 

Soto to get on base is (+145). 👀

#Padres #Braves"
16,"makin big poopy on the dancefloor rn 
. everyone watch out 👀"
17,"No, that would be terrible…..👀"
18,Which one 👀 asking for a friend
19,Do it! Angst week does start tomorrow👀
20,That 🇩🇪 flag will soon turn into a 🇺🇸 flag 👀
21,What you drinking on 👀
22,Would love to bring this to our community at the 👀
23,"👀What a surprise!!
I finally achieved Aces High.
All missions #Web3gaming"
24,Oh hey I see me and Len 👀
25,What’s that 👀
26,At me or the splinter twin? 👀
27,Please tell me there’s an uncovered version 👀
28,They do already seem perfect for each other lol but absolutely more to him then he is letting on 👀
29,👀 wasn’t expecting this this weekend
30,"Our waiter was flirting with all of us so maybe we'll see him later. 👀 I think it was mostly not directed at me, but it was nice to be included. (we represent the full spectrum of genders, so one can hope)"
31,He’s destroying your country before our very eyes 👀
32,Damn this lil bitch kinda bad I’m starting to think she a Barbie 👀
33,possibly the best dancer in the scene! 👀
34,WHERE MY FELLOW #DICKSHOOTERS AT?!?! 👀
35,Who’s here👀?
36,I wouldn’t know 👀 I don’t even know the value of those.
37,Who is the mouse in that dudes pocket? 👀
38,Can you buy me one? 👀
39,It was a close fight but forward pressure in my opinion will reward Loopy Godinez. There will definitely be some 👀 scores announced here #UFC287 ; predicting a 30-27 for Godinez
40,👀👀👀… maybe. I actually have no clue what you’re talking about
41,"1% listed 

👀👀"
42,"Ilya Samsonov chatting with team athletic therapist Paul Ayotte. 👀

Earlier today the Leafs signed University of Toronto's Jett Alexander to and amateur tryout contract for the purpose of backing up Samsonov tonight."
43,ahahha man if i do pop up i want the fanart to pop up tbh 👀👀👀👀
44,"Finally some movement. Again, too early to celebrate but cartel appears to be back 👀 ..Break out of this fakin 100$ range and flip 28.2 -&gt; I’ll add to long."
45,Do you think a King Andrias would be possible? 👀 I’d die for that
46,"after the Sydney debacle, please be on notice for the Gather round when it comes to shots from the pocket. Go with the best angle, not your bells and whistles and for goodness sakes, stop zooming in so much after the shot. 👀"
47,Should i post the Colby video right now? 👀
48,th3re can only be one #alveychain $wALv $ALV 👀
49,Gotta run a small errand then we will be gaming 👀
50,"Chotto mate
Eres chica? 👀"
51,And worked again. 👀👀
52,More fun for late game. 👀
53,"If you have littles in your life that get excited about the Easter bunny, kick it up a notch with some easy bunny tracks next to their basket. 👀"
54,"Nervous about this one going to the judges… 👀 I scored it for Loopy, round 1 and 3. But it’s cloooose. #UFC287"
55,"👀👀👀👀👀👀👀👀👀
Looking for a dynamic and talented Human Resources Generalist to join our team! 

Are you ready to take your HR expertise to the next level and make a real impact on a growing organization? 

Look no further, because we have the"
56,"this is already enough interest for me to consider doing it, i think ill start planning some stuff out for this after i finish my current commission 👀"
57,dhdjdkff wait i can guess??? 👀
58,Not anymore 👀
59,i don’t believe you have this… 👀
60,you are v funny 👀
61,"My big bro and I loved it!

Also we did see the credits scenes that you mentioned. I hope there's a sequel coming. 👀"
62,they said red hair get ya ass ate👀
63,my friend is travelling to europe… 👀
64,👀👀👀👀👀👀👀
65,Oh you’re gripping that thing fr 👀
66,👀this now  
67,Time to base up for UFC 👀
68,This is the same thing that happened with her and destiny. Now her and stormy not speaking 👀 #lamh
69,"Oh look, I’m back! 👀
#ResidentEvil4Remake #twitchaffiliate #smallstreamer"
70,"Still, it was cool to see gpt do what it did. It just needs someone at the helm who is paying attention, and isn’t getting distracted by the magic of LLMs 👀"
71,"Image from job listings page, could we be looking at the new game's concept art? 👀👀"
72,Intentionally outrageous nonsense designed to be amplified by people sharing it online...👀
73,What’s the strength xp rates on that one 👀👀
74,👀 imma need the secrets brother
75,LOOK HOW BELLION IS THERE… WHAT IF WE GET WALLS TONIGHT 👀
76,"After when I finished watching The Super Mario Bros Movie.
I decided to get my hands on The Super Mario Bros Movie Toys at Target from JAKKS Pacific.

By unboxing Mario, Luigi, and Toad.
Along with an unexpected crossover at the end.👀
#SuperMarioBrosMovie"
77,"Come home, the kids miss you 👀"
78,Wait…are they going to show Brett and Tiff having sex?? 👀 #LoveIsBlind #LoveisBlind4
79,Apparently he's some player 👀👀👀
80,And I Oop! What they lookin like 👀
81,You should be a track commentator 👀
82,"Kisten Oswald an HR Person contributing to a hostile environment 👀

Joanna Cherry quit SNP ruling council over ‘menacing’ attitude"
83,I had to do a double take! 👀LoL
84,sooooo when can we get hits different on streaming?? 👀
85,"👀

Don't call me out like that. It isn't my fault death follows me like a puppy...

Unless you meant kill with kindness...that's a different matter all together"
86,👀
87,"If it’s been mid so far, I can’t wait for what’s coming next 👀"
88,Do you live in Canada? 👀
89,GIRL. 👀 TELLING ME YOU LANDED A DREAM JOB IS NOT MAKING IT ABOUT YOU. LET ME CELEBRATE YOU.
90,I’ll have to consider 👀
91,"I have three more sketches of him, I'll post them all when I'm done~ 👀"
92,there is nothing hornier to me than sending me a weird recipe and saying “we should make this 👀”
93,Probably why they want ur guns too 👀
94,"Refreshing your TS account every 3min 👀

TS: Liveon2legs"
95,For the record 👀
96,Who know about these? 👀 #sweetoes
97,Any music grants for Georgia or Atlanta specifically 👀
98,"My coworker just said ""I'm not hungry"" while chugging a coke zero and I'm like 👀👀"
99,"My municipality is in light blue, even though the rest of the county is red. 👀"
100,Ay get your shit together 👀
101,The video that I didn't think would get views got 1.6k last night!! 👀
102,"What would happen if ChatGPT was only sourcing info from here? How would the answers read?

And by ""from here"" I mean the WHOLE app... DMs, drafts, ads... Everything. 👀

All answers welcomed, wrong answers invited to kick it (figuratively)."
103,👀👀it does?? ha! this actually means something
104,Respect! What a Total!! 👀
105,Who???👀👀
106,👀👀 where at?
107,Because the cat couldn’t get to Alyx or Lewis like they originally hoped? 👀👀👀
108,That was just 4 out of 11 songs and the internet is already exploding👀
109,Post pulls 👀
110,Funny how all is quite on front! Not got the bottle to come out and say anything.. maybe they finally realise the games up and they are royally fucked! Don’t worry boys I’m sure not long till police come knocking on your door 👀 #corruption!
111,👀👀 looks like she has nothing to say now
112,He prolly watching these tweets right now 👀
113,Im not convinced per say but I am.... side eyeing 👀
114,"Yes, now THIS is a well thought out and smart proposal 👀"
115,"ICYMI, Fat Joe's Nike Air Force 1 ""Terror Squad"" will be hitting retail for the first time later this year 👀"
116,"Do you like magic, mayhem, action, and adventure? Of course you do, and Electric Fencer is here to give you your fix over at a small sample of what we've been working on recently 👀"
117,Do you know something I don’t? 👀
118,👀 AUGGHH BOOKMARKING THIS SO HARD &lt;333333 your works are so insanely inspirational and gorgeous !!! absolutely need one of these
119,But maybe that’s what they fear? 👀
120,"ah i see

do you have issues like this often? switching editing software could be helpful 👀"
121,Make your guesses for the venue in Boston. 👀
122,"I might have to toss a gummy down the hatch, I’m def looking for a baddie tonight 👀"
123,It's done... Just gonna have to wait for some other stuff and I'll be able to put out a teaser 👀
124,👀
125,Got one who’s looking to spar 👀
