ID,Comments
1,Text
2,"When you don’t like the person, it’s always like “what’s doing this one?”🫠🫠🫠🫠"
3,Still cooking 👨‍🍳 #uidesign #figma #UIUX
4,no one cares but my lesbian self finally decided on who’s the hottest man in her eyes but i’ll only leave it to your guesses 🤭🤭🤭
5,"Hola porfis vengan a Colombia, Gracias 🩵"
6,#MagicalRealism 👨‍🍳 You’re made of smoke… 🧞‍♀️ I am… but with each wish I grant I become more corporeal. 👨‍🍳 What? 🍲 I feel my appetites growing already.
7,Who would have thought I’ll be this excited to go to school 😂🗑️📚
8,"YUM! 😋 Our SOAR cooking group made meatball subs, green beans, and salad. Our cooking class teaches how to shop for groceries, cook healthy meals, and about kitchen safety. 👨‍🍳🥗 🛒"
9,"The way I thought this was an edit, I just realized these are actual genuine gourmet mega stompers 👩🏾‍🍳🤌🏾✨️"
10,👨‍🍳 playoffs and play-ins otw time to 🏃 it up 💲 posting all my slips in this thread
11,"Winner...winner, 🐔 dinner! Check out the top dining facility awardees and top chef 👨‍🍳 nominees! We know where we're eating dinner tonight! Congrats to all!"
12,Sardine eggs are my new favorite ingredient 👨‍🍳 🐟 🥚
13,Which?🧇🍳🥞☕
14,"Nah. They’re a specific subset of the nerds. Usually found either in a back corner of the library, or stuffed in their lockers. 🙀😜"
15,Wow is that just short of a million views  only 170 likes? 😲 That’s pretty damning. No doubt she’ll be oblivious to it though 🙈
16,"😭😭 my question is . why is that acc posting their pics then…., bffr"
17,and i made me and my friends at the time on the cover 🥲🥲
18,🍄 LOVE YOU!!! 🔥DEF SENT RETWEET SO ALL MY BESTIES COULD CHECK OUT YOUR AWESOME GIVEAWAY ⭐MARIO IS MY ALL TIME FAVORITE CHARACTER #SuperMarioBrosMovie THANK YOU FOR THIS WONDERFUL CHANCE❤️
19,omg found pics from when i was editing the yearbook 🥲
20,I see 🌚
21,UR SO RIGHT like there was so much hype for the show bc they were in it and i remember being into it in the first few episodes but it just fell off after that 😐
22,"Good morning everyone and thank you God for another beautiful day 🙏❤️🌹 keep safe always everyone 🥰, keep smiling and open your heart to love and to be loved ❤️🌹🥰 have a wonderful day to all ❤️ don't forget to eat your breakfast 🍳 🥞☕ love you mhuaawww 🥰❤️🌹"
23,I thought Bae's new songs was gonna be Alabama since she and Hayko are sibs 😭. I'm ded- but love the song!!! #MADDOOFS
24,I’m the hair auntie in the future 🫶🏾
25,I’m telling y’all he was so done 😭
