ID,Comments,raw text,emojis
1,"when you don’t like the person, it’s always like “what’s doing this one?”🫠🫠🫠🫠","when you don’t like the person, it’s always like “what’s doing this one?”","['\U0001fae0', '\U0001fae0', '\U0001fae0', '\U0001fae0']"
2,no one cares but my lesbian self finally decided on who’s the hottest man in her eyes but i’ll only leave it to your guesses 🤭🤭🤭,no one cares but my lesbian self finally decided on who’s the hottest man in her eyes but i’ll only leave it to your guesses ,"['🤭', '🤭', '🤭']"
3,"#magicalrealism

👨‍🍳 you’re made of smoke…
🧞‍♀️ i am… but with each wish i grant i become more corporeal.
👨‍🍳 what?
🍲 i feel my appetites growing already.","#magicalrealism

‍ you’re made of smoke…
‍♀️ i am… but with each wish i grant i become more corporeal.
‍ what?
 i feel my appetites growing already.","['👨', '🍳', '🧞', '👨', '🍳', '🍲']"
4,who would have thought i’ll be this excited to go to school 😂🗑️📚,who would have thought i’ll be this excited to go to school ️,"['😂', '🗑', '📚']"
5,"yum! 😋 our soar cooking group made meatball subs, green beans, and salad. our cooking class teaches how to shop for groceries, cook healthy meals, and about kitchen safety. 👨‍🍳🥗 🛒","yum!  our soar cooking group made meatball subs, green beans, and salad. our cooking class teaches how to shop for groceries, cook healthy meals, and about kitchen safety. ‍ ","['😋', '👨', '🍳', '🥗', '🛒']"
6,"the way i thought this was an edit, i just realized these are actual genuine gourmet mega stompers 👩🏾‍🍳🤌🏾✨️","the way i thought this was an edit, i just realized these are actual genuine gourmet mega stompers ‍✨️","['👩', '🏾', '🍳', '🤌', '🏾']"
7,👨‍🍳 playoffs and play-ins otw time to 🏃 it up 💲 posting all my slips in this thread,‍ playoffs and play-ins otw time to  it up  posting all my slips in this thread,"['👨', '🍳', '🏃', '💲']"
8,"winner...winner, 🐔 dinner!  check out the 's top dining facility awardees and top chef 👨‍🍳 nominees!   we know where we're eating dinner tonight!

congrats to all!","winner...winner,  dinner!  check out the 's top dining facility awardees and top chef ‍ nominees!   we know where we're eating dinner tonight!

congrats to all!","['🐔', '👨', '🍳']"
9,which?🧇🍳🥞☕,which?☕,"['🧇', '🍳', '🥞']"
10,"nah. they’re a specific subset of the nerds. usually found either in a back corner of the library, or stuffed in their lockers. 🙀😜","nah. they’re a specific subset of the nerds. usually found either in a back corner of the library, or stuffed in their lockers. ","['🙀', '😜']"
11,"wow is that just short of a million views  only 170 likes? 😲

that’s pretty damning.

no doubt she’ll be oblivious to it though 🙈","wow is that just short of a million views &amp; only 170 likes? 

that’s pretty damning.

no doubt she’ll be oblivious to it though ","['😲', '🙈']"
12,"😭😭 my question is . why is that acc posting their pics then…., bffr"," my question is . why is that acc posting their pics then…., bffr","['😭', '😭']"
13,and i made me and my friends at the time on the cover 🥲🥲,and i made me and my friends at the time on the cover ,"['🥲', '🥲']"
14,🍄  love you!!! 🔥def sent retweet so all my besties could check out your awesome giveaway ⭐mario is my all time favorite character   #supermariobrosmovie  thank you for this wonderful chance❤️,  love you!!! def sent retweet so all my besties could check out your awesome giveaway ⭐mario is my all time favorite character   #supermariobrosmovie  thank you for this wonderful chance❤️,"['🍄', '🔥']"
15,omg found pics from when i was editing the yearbook 🥲,omg found pics from when i was editing the yearbook ,['🥲']
16,ur so right like there was so much hype for the show bc they were in it and i remember being into it in the first few episodes but it just fell off after that 😐,ur so right like there was so much hype for the show bc they were in it and i remember being into it in the first few episodes but it just fell off after that ,['😐']
17,"good morning everyone and thank you god for another beautiful day 🙏❤️🌹 keep safe always everyone 🥰, keep smiling and open your heart to love and to be loved ❤️🌹🥰 have a wonderful day to all ❤️ don't forget to eat your breakfast 🍳 🥞☕ love you mhuaawww 🥰❤️🌹","good morning everyone and thank you god for another beautiful day ❤️ keep safe always everyone , keep smiling and open your heart to love and to be loved ❤️ have a wonderful day to all ❤️ don't forget to eat your breakfast  ☕ love you mhuaawww ❤️","['🙏', '🌹', '🥰', '🌹', '🥰', '🍳', '🥞', '🥰', '🌹']"
18,i thought bae's new songs was gonna be alabama since she and hayko are sibs 😭. i'm ded- but love the song!!! #maddoofs,i thought bae's new songs was gonna be alabama since she and hayko are sibs . i'm ded- but love the song!!! #maddoofs,['😭']
19,i’m the hair auntie in the future 🫶🏾,i’m the hair auntie in the future 🫶,['🏾']
20,i’m telling y’all he was so done 😭,i’m telling y’all he was so done ,['😭']
21,🧑🏾‍🍳black community is cooked,‍black community is cooked,"['🧑', '🏾', '🍳']"
22,"marine ecosystems need protection and i take the 'protection' 
#$@?! girl boss indeed💥🐢
but human need nutrition also (especially you n) what should i do? 😔😔😔👩‍🍳
#sakitpinggang","marine ecosystems need protection and i take the 'protection' 
#$@?! girl boss indeed
but human need nutrition also (especially you n) what should i do? ‍
#sakitpinggang","['💥', '🐢', '😔', '😔', '😔', '👩', '🍳']"
