ID,Comments,raw text,emojis
1,"pshhh. there's no differences between races
👀","pshhh. there's no differences between races
",['👀']
2,"for my tl
👀","for my tl
",['👀']
3,you should have one 👀,you should have one ,['👀']
4,"click the link below!👀 #nba2k23 

my 6’5 build attributes  badges

nba 2k23 mycareer - 6’5 build make full-court shot| gameplay highlights","click the link below! #nba2k23 

my 6’5 build attributes &amp; badges

nba 2k23 mycareer - 6’5 build make full-court shot| gameplay highlights",['👀']
5,"how do we even know what is true or not. everything is a rich man’s trick. we don’t know for certain anything that’s being “told” to us… all we are doing is believing a plan set out for us to follow. until they show the world something, it’s all just words. 👍","how do we even know what is true or not. everything is a rich man’s trick. we don’t know for certain anything that’s being “told” to us… all we are doing is believing a plan set out for us to follow. until they show the world something, it’s all just words. ",['👍']
6,"the gridiron crew's #tgcwherearetheynow 2023 series featuring ponce deleon

section 109 row m, our guys  and nick are watching  and the  battle the ! #cif  #profootball 🏈

👀 see our 2022 interview:","the gridiron crew's #tgcwherearetheynow 2023 series featuring ponce deleon

section 109 row m, our guys  and nick are watching  and the  battle the ! #cif  #profootball 

 see our 2022 interview:","['🏈', '👀']"
7,"the king of charlotte evens things up 👑

the  all-time leading scorer,  scores his first league one goal to tie up the dogwood derby 👀

#ncvclt // #oneforall","the king of charlotte evens things up 

the  all-time leading scorer,  scores his first league one goal to tie up the dogwood derby 

#ncvclt // #oneforall","['👑', '👀']"
8,people that think lover is happy 👀,people that think lover is happy ,['👀']
9,"guys i remembered a speech about the red album where taylor says ""she was through a hard moment and only wished someone in the crowds would say ""i've been through it as well"", and swifties did it"", she gets really emotional and almost cry 👀","guys i remembered a speech about the red album where taylor says ""she was through a hard moment and only wished someone in the crowds would say ""i've been through it as well"", and swifties did it"", she gets really emotional and almost cry ",['👀']
10,👀 i get it... i met my bf in 2006.. and i was a junior in high school...oh i hate feeling old lol, i get it... i met my bf in 2006.. and i was a junior in high school...oh i hate feeling old lol,['👀']
