ID,Comments
1,This mentality though 😂😤 But can you borrow me $1k😩🥹
2,i'll be looking forward to more of your tweets for this promo! it's really so soft 🥹
3,New mutuals urgently needed 🙏🥹
4,I'm just shouting when muggles seen my vid and they're started to fangirling namgil 🥹♥️ y'all my man very charming ✨ come on let's bucin with me 🥹🥹
5,"And just like that it’s all over for another season 🥹 proud to have been a part of this season, proud of the players  what achieved with his team, cannot wait for the new season, the count down is already on! 🙌🏼 #proud #welldone #ManchesterStorm #WeAreStorm"
6,I am going to cry 🥹
7,Perfection 🥹
8,"biggest compliment ever, you just made my week so much better 🥹😭"
9,Lately Mark looks even more like his rookie self and this makes me a little too emotional 🥹💔💔💔
10,why i no one irl streaming dreamhack 🥹
11,I love her 🥹
12,"The closer I’ve grown to God, the more I’ve started thriving mentally 🥹"
13,Love that for us 🥹
14,Can’t wait for my crush to meet Cari with me at pride 🥹
15,My baby little hugs are life 🥹
16,The butterfly confetti is so beautiful 🥹
17,i’m making an amatw gc who wants to be in it 🥹🐜🐝🫶🫂
18,sweetener really hits u when u’re at the lowest point of ur life 🥹
19,Please tell me you'd be down for a Hooty spin-off. There will never be enough bird-tube in my life 🥹
20,The night just began 🥹🤭
21,deleting media off my phone and I really have concert videos of De La Soul and Schoolboy Q with Gorillaz 🥹
22,Lemme get my passport together 🥹😩🤣🤣💕
23,I commend ANYBODY GOING TO SCHOOL AS AN ADULT BECAUSE STAYING FOCUSED ON LEARNING A NEW CAREER WHILE LIFE IS HAPPENING AROUND YOU AINT NO JOKE📚🥹 #Marketing
24,Your gotta a friend on me 🥹✨
25,Pain is when you gotah lock and fan duel don’t let you deposit and it hits 🥹🔫
26,you awakened so many old memories 🥹
27,i need a festival asap to get lost and meet random people 🥹 shits always fun
28,People Pt.2 x FACE x THE ASTRONAUT started😌😍🥰🤟🏻🫂🤌🏻💜🙈🫰🏻 PEOPLE PT2 OUT NOW PEOPLE PT2 BY AGUST D #AgustDxIU AGUST D OFFICIAL DEBUT
29,Came home after a 12h shift to a signed ateez album 🥹
30,"this airport fashion is a breath of a fresh air bcs i never saw that cardi and tshirt before, finally we can confirmed that chenle’s closet doesn’t only contain of that black gucci jacket and aladin pants 🥹"
31,Domo and the kids ALWAYS want tacos 🙄 I love them so much cus meee toooooo 🥹💜
32,thanking whoever took this pic omg 🥹💜
33,A house doesn’t smell of food 🥹
34,AWEE CARLEEN STOPPP aksjs you're the sweetest 😭🥹 tysm for your support and everythinggg ILYYY 🥺💖🫂
35,#NUFC Missed Almiron 🥹 Hope he can rejoin the group before villa match
36,I’m gunna get to shoot my bow and arrow today!!! It’s been years man 🥹
37,Whoever writes these needs a raise cuz they are so cute for this 🥹
38,Worship songs with d fam! 🥹
39,oh I miss him so much 🥹
40,I'm doing my best for them 🥹
41,I hope my hubbys mom is alive and this kind 🥹
42,love this for us 🥹
43,But he kept looking at her 🥹
44,He knows I love my flowers 🥹
45,🥹❤️❤️❤️
46,Baby called and sang to me then he smiled and hung up 💙🥹 #boymom
47,it was a hard winter for my monstera Phil but he pulled thru and has a new leaf ready to unfurl 🥹
48,"Menna Shalaby will be spending the whole series in Lebanon God, this will awaken in me Nostalgia for every street there and every favorite place 🥹"
49,I am once again asking for someone in this area to become this boi’s loving human 🥹
50,i braided my hair and my dad says i remind him of nynaeve 🥹
51,same!!! i got my signed cd but the limited edition vinyl still has to ship! 🥹
52,friends who share the same playfulness as you make my heart so soft 🥹 like what do you mean i can go “oh my gosh look! an enchanted forest!” and u will say “omg look at the fairies flying on top of sparrows”? like? i will literally kiss them 🥹💐💐💐
53,i get to see my girl katie tonighttt i’m so excited 🥹😫
54,watch me wake up tomorrow and spend that 40€ 🥹
55,"Yeah it's extremely difficult here and yet we have had more radio for them here, much more than the USA and yet no one talks about it 🥹💜"
56,Oh everyone's being so nice! 🥹 I thought I'd get like 1 person and they'd say Sage and sapphire lmao
57,Tahajjud is hope when everything seems to be hopeless 🥹♥️
58,My 1 pick from the survival shows i watched 🤩: trust me juseyo they will all debut 😩🥹 #boysplanet #FantasyBoys
59,Perfection 🥹
60,My ‘fit for #MarioBrosMovie The movie was actually so good 🥹 highly recommend if you love the series it’s definitely worth seeing!
61,Thank you all for the love! 💗🥹💗
62,Sorry Ramos but all i need is that smile of his 🥹 hakimi may this beautiful smile never leave ur face🫶🏿 beautiful being☺️
