ID,Comments
1,"Haha yep, get Trump😤 All of the problems in this country will be gone. Right? Poof!"
2,So all the “ I’m from Cleveland “ baseball jackets sold out 😤
3,Benny blanco been more like Ben white 😤
4,The disrespect 😤
5,I don’t know what to do with our defence!!😤😤😤😤🤦🏼‍♂️
6,"Mom, dad, son and their family cat and you CANNOT tell me otherwise 😤😭🫶🏻"
7,"GM to anyone who see this. Happy bunny day! chocolate, my beloved 🥹 Since it’s that kinda of day, I’ll say it here: dark chocolate is the best chocolate. 49% Coco? Banger 😎 No wrong answers here 😤 #vtubers"
8,Fuyukisatan though😤 big love for this catboy☝️up there
9,I will NOT accept Tumbili slander on my timeline 😤😤😤
10,"Manchester born, What do you expect! 😤😤😤 I just want us to play like the starting 20 mins in the next 45 mins."
11,The boys should keep their heads man ... you don't pick up fights at anfield😤
12,You see if we attacked and surrounded the ref like this😤 #LIVARS
13,"Youtube hates AJC right now... videos only getting 30 to 50 views... lives throttled like hell almost unwatchable.. censorship sucks! But I'm not giving up! At 6k subs we were killing it last bull cycle! 😤. I've watched yall grow and it's well deserved! Lots of time, effort, and…"
14,"At this point, Xhaka has to go. He created a useless distraction and we concede. This game can go either way now 🙄😤😤😤"
15,"🤣😂it ain’t funny, like look at that awful shit cuhh cmon nie 😤"
16,I hate how people use Easter as an excuse to dress slutty. It makes me so mad seeing all these gorgeous gorgeous girlies in bunny ears and lingerie. 😤👀👀
17,📝👈😈 Time to get to work😤
18,"Xhaka you better hope we win this mate, you brought that crowd to life for no reason 😤"
19,Ben White choosing the worst game to have a disasterclass 😤😤 needs to keep his calm in the 2nd half
20,"Pathetic arsenal going down like that wow 🥴 , shame cos they were playing really good football , tierny is horrible isn’t he 😤"
21,TLJ is the best Star Wars movie and I'll die on that hill 😤😤
22,#LIVARS Alexander-Arnold pushed him in the back! It’s unfair how commentators crucify Xhaka for standing up for himself 😤
23,she’s 12 years old?? 😭😭😭 focus on your study not on twitter 😤 im super uncomfy for what she did.
24,I'm gonna rewatch it after I finish BoJack horseman rewatch 8 😤
25,why does he always have that shit eating grin on all those selfies? :D 😤
26,Got some time to kill today. Who want me. 😤
27,One of the greatest intros ever 😤
28,Why did he bother ordering some? Surely he can also run fast enough to catch the chicken himself 😤
29,😤 Arsenal's record when leading at half-time in the #PremierLeague this season: ✅ 14 wins 🤝 1 draw ❌ 0 losses 🤪 Are they on their way to their first win at Anfield in the league since September 2012?
30,Some people deserve to spend their entire mortal lives in a deep dark pit never to see freedom 😤
31,Nice to know I'm not the only one. 😔😔😔
32,"Every Wayne’s song is losing in this poll, disgusting 😤😤😤😤"
33,Wow... we finally get to hear the words... I WAS WRONG out of Fakeci's mouth😤
34,
35,"Someone called my dog ugly, today is not her day 😤 I think she's beautiful!"
36,Fire game😤🔥🔥🔥🔥
37,A penalty miss means VVD is better 😭😭
38,so ready for my heart to be ripped to pieces💔😤😤
39,We are definitely getting the cup this year😤
40,Salah again out of nothing 😤
41,😱They don’t know close to half 🤦🏾‍♂️😤😭😭😭
