ID,Comments
1,Something we can finally agree on 😂
2,"TBF, he was tryna calm him down before the yellow too😂"
3,I had to ask what ‘cap’ meant the other day 😂
4,This meme's been making me laugh so much 😂
5,I told my wife that when I die: my final request of her will be that she clips my toenails and lotions my feet before EMTs arrive to pick up my dead body. I want to check out with some dignity. 😂😳⚰️✌️🏾
6,You made your decision but you’re bothered by my post because you think it’s about you 😂😂😅 miss mamas byeee
7,who asked you to take me seriously? i said what i said you don’t gotta take it you dumbass 😂
8,Hahahaha if you say so sheep😂 science has been wrong many a time you should know that just look during the pandemic we were a laughing stock😂😂😂
9,"Lmfaoo what standard? Not looking like a hog? Yeah, get over it😂"
10,"i have too much fun drunk, i need to stop 😂😂"
11,Y’all are using the opportunity to post your pictures 😂
12,Bunch of bitches you fans are😂 ain’t won in Anfield in over 10 years and think it’s cos you’re in title race? Sureee
13,😂😂 you never give up
14,"Honestly i only trust for calls lol, he’s literally always right 😂"
15,real😂😂
16,My problem is I’m mad territorial. I dead won’t like somebody nomore but I don’t want nobody else to have them 😂
17,We’re usually 3-0 down at HT I’ll take this😂
18,At least the flames have a shot at Beda- ohh wait they don’t even have that 😂
19,No you are Not... This is a ITALIAN festival shown on the news last night🤣😂😅
20,Good grief 😂😂
21,"🤣😂🤣😂🤣 Voted for neither Biden nor Trump. One's a ""business guy"" who used the US Govt to make private/personal business deals, while the other's a ""lifelong politician"" doing the same. DJT was outside-in. JRB is inside-out. Same guy. Same values. Different branding."
22,😂😂 bet he's curled up by a heater now
23,I’m tired of seeing some picture here 😂
24,Lord I would have broke my back or slid right off that stage 😂 Shownu you fittie #SHOWNU
25,It’s a Paul Tierney disaster class 😂
26,Didn’t promise y’all a collaboration of Coffee with Khosi and Tea with Thabang? Hang in there bethunana 😂 he’ll post that content on his YT channel.
27,Maybe they are all broke na 😂
28,":All good. Don't worry about it"". 😄 🤣 😂"
29,😂😭 ong he turning into a lecture Nigga.
30,I would necessarily say it 😂😂😂 Craving copious amounts of attention from your partner is DEFINITELY an insecurity thing.
31,Yes!! Me too!! 😍 Bowser song was so funny 😂😂
32,It’s been a while since I hit up Dennys on my way to getting home at 4:30 AM racing to beat the sun 😂 Good times.
33,The party still continues fam 😂😂
34,"Most men don't know how to have a general conversation, it always ends and n flirting.😂 Please forgive them☺️🤦😂"
35,Listen! My mother told me she's going vegan and I might join her 😂😫
36,All day my boy! When he on a team thats who i rep😎😂
37,And that’s jus sad. Plz don’t admire him. No. 😂
38,😂😂no way he's among the greats without ever winning the pl
39,"I swear if Darwin was on the pitch in the last 10mins, there would have been bets on how long until he’s sent off… 😂"
40,😂 what's that supposed to mean now.
41,My favorite part about this clip: Trump getting ready to shake Hollands hand but Holland acknowledges and speaks ONLY to Dana. 🔥🔥🔥🔥😂😂😂
42,"You're a very empty person. I suggest meditation, a glass of wine, or yoga perhaps? You're not ""right,"" at all, but keep telling yourself that.😂"
43,I wouldn't be happy after that first half performance 😂
44,Why are they angry at the refs if anything it should be us 😂😂😂
