ID,Comments
1,"If you know me you'll know I have wobbles, I hide, I don't speak and I fear the moment. I act odd but I bounce back . Sometimes I need to write it down to remind myself this is a blip not the final chapter there's more to this book of life for me. 🙏❤️"
2,I personally don’t like you at all. Honestly. But if your a real Christian (even though I have my doubts considering who you like ). I will as a Christian wish you also a blessed and Happy Easter to you and your family. I’m not spreading hate on Easter Sunday. God Bless🙏
3,It’s going to be awesome! Hoping I can go to a game or 2 in Sacramento/SF. 🙏
4,Amen 🙏 Amen 🙏 and he is coming so people prepared yourself
5,It is always greatly appreciated when the hard work and the details are noticed. Thank you PGH 🙏
6,I TOLD Y’ALL 🗣️ Kenneth Lofton Jr. is the Thick King Messiah we’ve been waiting for. 🙏
7,everything for my son🙏🙏
8,"That’s quite the project, sweet Connie 🤣😂 thank you so much.🙏🥰✈️"
9,Thank you sir 🙏
10,Am I permitted to drop mine sir ?🙏🖤
11,Blessing the timeline with Kyle 🙏
12,"My friends who are women in gaming and esports! If you have the time or reach, please consider helping my friend out 🙏"
13,"On April 7th, Amsterdam, at the concert, I met a girl that gave a pick when the show ended bc I was crying. I think she’s from USA and she’s going to more concerts of this tour. She was really nice, and I would love to say thanks again, so please help me find her🙏"
14,Yes trump did😳🌎💙🙏
15,Felices Pascuas 🙏🙌✨️😍
16,$ETH TOP analysis price target for next week..🙏 $LUNC $OGN $BTC $TSLA $COMP $SAND $GMT $RUNE $SOL $U $MATIC $ATOM $EGLD $SPY $XRP $GL $Y $TA $L $HATI $CAW $AMC $AAVE
17,Got to open a gig tonight for the first time. Felt like a wee bit of a milestone being booked to open by such a well established promoter. Thanks Mike 🙏 for the opportunities  all the support so far 👏👏 #comedy #onegigatatime #keepworking #opening #comedian
18,🙏🙏🙏🙏😭😭😭😭 prayed for times like this .
19,"Are you ready fam🫡 Do not ask where we were, just open the free Mint now ASCII art Will not die Something big is coming 🙏 #NFT #NAKAMIGOS #ASCII #FREEMINT"
20,🙏🐰🥕 May the blessing of the holy carrot last forever!
