ID,Comments
1,😂 oooo the year I intend to send only the one song due to my level of adoration for it 🥰 #forgotten80s
2,Stooop!! You're making me cry even more! 😭😭 And I kinda miss your voice now btw! 🥹🫰🫶
3,take care and get well soon 🥰 #Saint_sup #MingEr
4,So excited to read more things from you — thank you! 🥰
5,Hope you've had a good day.🤗🥰❤️
6,omg that’s one of my favourite taylor’s songs 🥰
7,"Good afternoon 😌 I choose to be happy, thankful, and joyful. What do you choose today? Happy Sunday! 🥰"
8,Baby Should Be Off Soon 🥰
9,"Everybody I’ve spoken to irrespective of gender, age or sexuality has had a genuine love for the man. He had the ability and the very rare ability to connect with anybody. He will be forever missed 🥺🤧🥰"
10,😂😂😂🥰
11,🥰🙏
12,"She is Taru-chan one of the most beautiful, beautiful and perfect women that exist in the world 😊💕💕💕💕she is my crush 🥰"
13,😆🥰😌💌😍 Camera candidate agency whatever any. #王雨纯 #魔物喵 #聂小雨
14,I love him even more in his soft cute version. Thanks!!! I'll have sweet dreams after these 2 pics 🤭🥰
15,So did I 🥰
16,"It’s just to dark for me. This is the blue ,trim around window,I plan on painting the kitchen doors to match the sunroom/ bird room 🥰"
17,🤏💘🥰😄😋 System she such alone threat boy. #后妈 #男s #后妈
18,I saw!! 🥰 i knew you wouldn’t
19,Aaahhhh I LOVE It thank you so much 🥰💖❤️💖❤️
20,😅👌💘🥰😋 Position throughout hotel apply. #性能力 #肛塞 #性能力
21,Thank you 🤭🥰 my guy
22,bc we be having the best of fun 😭🥰
23,Hope you have a lovely holiday 🥰🐰
24,Officially in spring weather 🌸🥰
25,So excited 🥰 especially for Track 3 ft. Hobi and Track 9 ft. Woosung 🥺
26,💘🤨😄💫🥰 General lose push family let serve. #线下 #认主 #线下
27,"Oh my God!, These babies are killing me , absolutely adorable 🥰"
28,🥰😄😅👌😆 Heavy maybe bag cultural agent international. #曝光 #正装直男 #足控褔利
29,I was hoping you was broke when they were done with you 😂😂 that’s all I ever hoped for . Lol
30,From one boy mom to another congrats 🥰
31,😋😀👌🥰😆 Hand prepare show ball watch. #大屌 Yellowtail #露出
32,they’re our sun and moon 🥰
33,So.. was indeed that best friend. Happy to add this to the list of collectibles I have for the Zelda series! 🥰😍
34,Thanks so much lovely 🥰 I’m privileged that this little bear makes me beam daily 🥰❤️ this age of innocence is just precious isn’t it 😍lots of love coming back your way ❤️❤️❤️😘😘
35,bien tierno ese cubito. 🥰
36,nice weather again means car shows and Sunday cruise nights 🥰
37,That would be cute af 🥰
38,I love #springflingkidlit. I enjoy the challenge to myself to dig deep for an idea and spring it to life. Thank you!! 🥰
39,I was NOT paying attention but he mentioned skzoos 🥰
