ID,Comments
1,This is why you’re my favorite! ✨
2,Added this little one to my throne 🥺✨
3,I saw!! 🥰 i knew you wouldn’t
4,Aaahhhh I LOVE It thank you so much 🥰💖❤️💖❤️
5,. ☀️ #おはよう歌舞伎町 ☀️ \ \ 本日も6:00 オープン / / - エルコレ歌舞伎町唯一の2部店舗 - ☀️ #朝コレ ☀️ すぐに初回もご案内可能🥂 皆様のご来店お待ちしております✨ ✅
6,i am so tired y’all 🫡
7,"Introducing Bridge 📷 As you may already know, we have a new #Bridge page on SyncSwap."
8,Imagine if he wasn’t an idol✨ Na Jaemin as the new resident surgeon and you find him in the fire exit on the floor resting after a long 8hrs surgery on his casual clothes about to go home post shift and when you greet him he still smiles at you like this.
9,i love that you absolutely slay will be buying when im not broke from trying to find an outfit 💀💀💀
10,what if i told you i'm a mastermind 🌑✨
11,Please what channel and time?? 😭😭
12,but are we surprised? 😅 glad everyone is safe tho
13,"I legit stopped right before penny died, I didn't know phyrra was dead for the longest time it's almost embarrassing 😭"
14,Looking awesome! 😁
15,but!! Delicious food???? 🫢💖✨
16,"STREAM END! Had a few nice games with and Smill in Apex, then we moved to playing Core Keeper with I am definitely not ✨traumatized✨ from this definitely calming game. Thanks for the raid today too 6 hours and 45 minutes stream today POG"
17,Because my mom is not gay???? Like what? 😭
18,"I had bought a bag that had black beans, brown rice  corn  peppers mixed in  I was making breakfast burritos at first so I took another can of black beans added more rice but wild cause it wasn’t a lot wit more peppers  it’s good as fuck omg🥹"
19,This Candiace  Porsha feud is hilarious too me I don’t think Candiace really want the smoke though 😭🤣 #RHUGT3 #RHUGT
20,Like?? the traditions in the US be so unrelated sometimes 💀
21,OH MY GOSH--- OH THIS IS SO COOL GOSH I CAN'T 😭😭THANK YOU SO MUCH!!! I LIKE IT｡⁠:ﾟ⁠(⁠;⁠´⁠∩⁠`⁠;⁠)ﾟ⁠:⁠｡🤍🤍🤍✨🤍✨🤍✨🤍✨🤍✨✨🤍✨🤍✨🤍✨🤍✨✨🤍✨
