ID,Comments
1,HAPPY B'DAY PRETTYYYYY 🤍 BLOOMING KARINA DAY #지민아_마이의_푸른봄은_너야 #Welcome_to_MyKarina
2,Finally. It's wrap. Well done Enigma babies and the whole team. Becareful on the way back home. Have a rest naa 🤍
3,Jennie ruby jane Calvin klein Global ambassador and queen of sold out 🖤🤍
4,juyo in the city of love ❤️
5,AMAZING! 🤍🖤
6,"I salute you! Let me wish you plenty of joy the b-day fun begin. May you be a source of blessings. The sun decided to shine at its glossiest of her b-day. Mirth, gregariousness, and smile witness how bright her existence. Happy Anni-birth-sary lovely Yoo Jimin. 🤍"
7,It’s the hope that kills you! 💙🤍
8,I AM by 🤍🖤🤍🖤
9,low quality pic of a high quality being🫶🏽
10,Do you want to win 18540? All you have to do is be a Hunter 🔎 Goodluck everyone! 🙏
11,"Just had to spell Scars last name at the pharmacy... ""Is that Italian?!"" What gave it away ma'am, the 8 letters or the vowel on the end? 😅😅"
12,I wonder who’s the first member to greet Karina a happy birthday 🤍 or are they drinking 😂 BLOOMING KARINA DAY #지민아_마이의_푸른봄은_너야 #Welcome_to_MyKarina
13,Have a great time girl 🤍
14,Black is indeed beautiful 🤍💫
15,release physical copies and take my money you cowards 🤍🤗
16,will extend until 11:45 🤍
17,Take care 🤍
18,Shit be so funny to me 😂
19,Thank you everyone who voted 💜️
20,First song from #annhideamazaakae releasing on 12 april❤️
21,Since we are witches it’s obviously written in invisible ink 😎🤍
22,"happy birthday karina sayang. You have aged and grown more mature, live your life at 23 years old now with happiness. once again happy birthday 🤍"
23,AHYY BESTIE THANK YOUU SMM IM HONORED TO BE HERE WITH YOU✨✨
24,"⠀ ⠀ ⠀to those who've been interacting with me recently, thank you so much, it truly does mean a lot. 🤍 ⠀ ⠀"
25,I stay otp with destiny and dannny for hourssss😂
26,bro I only wanted to be dramatic TMRW but since i have school and can't therefore be dramatic DRAMATIC I have to be that today hehe so anyways tmrw it's gonna be a year since I saw Louis🙁🙁🤍 but not only that..it's also gonna be a year since I first felt comfortable in +
27,Have a great one 🤍
28,"10/10 for all three of them, I'm absolutely in love with all of those designs 🤍"
29,I would Love for You to ADD those Sun Pics💚🫶☀️⚡️. No Hiding- the World wants ( needs ) to SEE your Light 🙏🤍✨🪞
30,230410 — YJ daily recap Our recap board is so full 🤍 • Twtitter - posted by Gyu 🧸 • YAWNZZN IG update • T:Time Yeonjun in Taipei • TO DO ep 103 • Weverse replies 🥺 • Kundal #YEONJUN #YJupdates
31,"Protect me, my family, and loved ones always, Lord. Thank you po 🤍"
32,"I have no belongings, as free as a balloon for flying to take me to the light, to the only thing I belong to...🔆"
33,ES QUE MIREN AAA PHUPATIAN😭❤ No puedo creer que les vuelvo a veer #OurSkyy2
34,soft and fluffy 🤍🐰☁️
35,"twibbonnya gemes bangettt, happy birthday miu! wishing u nothing but the best, have a blast yaa! 🎀🤍"
36,either way it is still a good choice 🤍
37,I couldn't agree more 💯🌸🤍
38,"I'M STILL PROCESSING EVERYTHING... ACTOR KIM DOYOUNG, YOU'RE ONE OF A KIND😭🤍"
39,"CHARAAAAAAN 🥳 That's the end hehe. Thank you for reading my very first au! :) Feedbacks? Suggestions? Thoughts? Send it all here, I'll be happy to read it! 🤍"
40,Great to see his work on the feed again. Honestly missed it 🤍
41,I love them ❤️❤️
42,WELCOME BACK YOUNGK !!!!! 😭🤍 #Welcome_Back_Youngk
43,Ikr 🤍❤️
44,"Also trading potions for some of the neons I am looking for ✨ However if I have 4 of the them, I’ll give you four of the same pet  adds of your choice ⭐️"
45,"Yoongi, absolutely!!! You have no idea how excited I am to hear your personal diary. Truly 🫂 looking forward to D-Day !!!!!!"
46,our first time 🤍
47,"page 100 of 365📖, thank youuuuu, Lord as always 🤍"
48,"🦈🖤🤍🦈Switch up, look at things different, see the bigger picture🦈🖤🤍🦈 #SSOT"
49,Having God centered in mines and my future husbands relationship is the best thing in the world. This man is such a huge blessing! 🤍
50,"happiest birthday to you, our lovely jimin! wishing your beautiful soul all the love and good things the world has to offer 🤍✨️"
51,Trading my inv - 💗 ➝ I don’t offer 🚫 ➝ Like is = Nty ✖️ ᝰEverything I am looking for is down the thread ᝰ ⚠️I DO NOT CROSS TRADE⚠️ ✰Some items will probably not be for trade ✰ Tags 🏷️ ﾟ→ #adoptmetrade #adoptmetrades #AmTrading
52,"Stolen from Ivan how do you see me? 🤍: intimidating, popular, always on tl, scared to interact 💥: chaotic, never shuts up, funny, wild, slightly worrying 💌: soft, comfort person, friendly, would protect 🤎: crush, lowkey in love, let’s date"
53,"I am grateful to be alive, and well. 🤍"
54,I'm going home now! #Kihyun Thank you for being with us [even] on the last show of [PLAY]! #Kihyun I'll do a live with Bongsook In a few days #Kihyun Y/N Thank you and have a good night #Kihyun Okay!🖤🤍💋 No problem!🖤🤍💋 Okay!🖤🤍🐶💋 Thanks🙏🖤🤍💋 #MONSTAX #KIHYUN
55,ALL IVE DONE IS EAT THE LAST 2 DAYS … and now i want a chocolate egg after having tuna and two hash browns 😔
56,Happy Monday indeed! Sun is shining here for what feels like the first time in months. 🖤 how you today?
57,"happy birthday danielle! i love you, please have a wonderful day 🤍 HAPPY BIRTHDAY DANIELLE #OUR_SUNSHINE_DANIELLE #HappyDanielleDay #4월에_핀_해바라기_다니엘"
58,he got me the pandora ring i’ve been eyeing oh 🤍
59,I read tweets that it’s a democrat state therefore it’s on them…🤦🏻‍♀️ geez 🙄 freaking unbelievable
60,Mashallah what a lovely picture. Happy birthday once again Kasim!🤍
61,Wait till I have my daughter 💕 ima be so extra with her outfits just like Jasmine 😂 🥰 me and Jasmine wanted a girl soooo bad I knew she was going do everything over the top just like I would 🤍
62,Thank you queen 🥺 Godbless your beautiful heart 🤍
63,"i'm in my own lane, on my own vibe. everyday i'm tryna improve myself mentally, physically, emotionally  spiritually.. if i lose people during the process so be it 🤍"
64,jeonghan and his love cheeks selca 🥺 so adorable 🤍🖤
65,I’d like to add that I will still like NSFW content just not RT it 🤍
66,never never get tired of looking at your eyes 🤍
67,no one told me Pilates would be this hard 😭
68,i love lyric so much it’s crazy 🥺 i’ve loved her since day 1
69,Mother gluten-free will drop by the French tv show “ C à vous “ tonight where she will give a live performance of her song and talk about her #Eurovision2023 attendance! 😍🤍
70,happiest birthday to my girlie danielle 🤍
71,"so so so much support. love you all, thank you so much 🤍"
72,I want some wing stop for lunch 😭
73,i wanna get to know u bff 😇 who's ur fav??
74,It means a lot to hear that. This one has a lot of my heart put into it🥺😭 🤍
75,Just when I thought he couldn't get any more hotter you guys drop this edit 😭🤍
76,"If there’s one thing that’s going to fuck me up on a Monday, it’s doing my taxes 🫠🫠🫠🫠🫠🫠🫠"
