ID,Comments,raw text,emojis
1,"thank you, pastor. my mouth should get more....
lol
i mean more cake...
or do i? 🤤🤭😋🤣","thank you, pastor. my mouth should get more....
lol
i mean more cake...
or do i? ","['😋', '🤣']"
2,"so horny right now, sending pics of my thick hard cock to every girl that  dms 😋                                      
#horny #hard #cum #dick #cock #bwc #dmme #cocktribute #cumtribute #wankchat #wanktribute #nsfw #nsfwtwt #dickrate #tributeyou #sub #gavat #pasif","so horny right now, sending pics of my thick hard cock to every girl that  dms                                       
#horny #hard #cum #dick #cock #bwc #dmme #cocktribute #cumtribute #wankchat #wanktribute #nsfw #nsfwtwt #dickrate #tributeyou #sub #gavat #pasif",['😋']
3,😋  i will be quiet cause she already know.,  i will be quiet cause she already know.,['😋']
4,"tonights supper is fake bake and chips. tomorrow, the big feast will be a ton of steamed veg with gravy. not doing anything special, but when brussel sprouts are in abundance, i buy 'em 😋","tonights supper is fake bake and chips. tomorrow, the big feast will be a ton of steamed veg with gravy. not doing anything special, but when brussel sprouts are in abundance, i buy 'em ",['😋']
5,bout to make my linguini 😋,bout to make my linguini ,['😋']
6,r word as in reckless 😋,r word as in reckless ,['😋']
7,"#costoflivingcrisis 
just preparing #eastersunday lunch the butcher was doing a deal 😋 imean lamb's lamb from were ever 😋","#costoflivingcrisis 
just preparing #eastersunday lunch the butcher was doing a deal  imean lamb's lamb from were ever ","['😋', '😋']"
8,oh!!! when i clean his tank he gets put into a little cup and he sits there n happily enjoys some worms while i clean it 😋😋,oh!!! when i clean his tank he gets put into a little cup and he sits there n happily enjoys some worms while i clean it ,"['😋', '😋']"
9,"it looks delicious 😋 but, my focus seems to go to that delectable piece of bread 🍞 in the back 😋","it looks delicious  but, my focus seems to go to that delectable piece of bread  in the back ","['😋', '😋']"
10,💝💝💝 my easter egg is there ready to eat 😋 delicious.... can't wait to try it....love u kylie my gal....my woman....my world 🌏, my easter egg is there ready to eat  delicious.... can't wait to try it....love u kylie my gal....my woman....my world ,['😋']
11,"it's so great to have a variety. i filled these 4 oz ers, put the larger containers in pantry i love bbq rubs and sauces too! let's cook! tomorrow we're doing a rack of pork with applewood and a little mesquite. 😋","it's so great to have a variety. i filled these 4 oz ers, put the larger containers in pantry i love bbq rubs and sauces too! let's cook! tomorrow we're doing a rack of pork with applewood and a little mesquite. ",['😋']
12,"in case you're on plus, we support interactive embeds there 😋","in case you're on plus, we support interactive embeds there ",['😋']
13,butthole is always delicious 😋🤤,butthole is always delicious ,['😋']
14,i might be seeing louis tomlinson july 13th 😋🤭🤞,i might be seeing louis tomlinson july 13th ,['😋']
15,you gotta be a baddie to pull off some red hair 😫😋,you gotta be a baddie to pull off some red hair ,['😋']
16,my mom makes me want to 😋🔫,my mom makes me want to ,['😋']
17,damnnnn!! need to drink up some coffee asap. 😋,damnnnn!! need to drink up some coffee asap. ,['😋']
18,i need to scream too like im being so fr 😭😭😭 do u want to see my reading and scream with me? 😋,i need to scream too like im being so fr  do u want to see my reading and scream with me? ,"['😭', '😭', '😭', '😋']"
19,blurple is. a pretty neat color as well 😋,blurple is. a pretty neat color as well ,['😋']
20,i think i would always lick them all 😋😍😋😍😋😋😍😋😋,i think i would always lick them all ,"['😋', '😍', '😋', '😍', '😋', '😋', '😍', '😋', '😋']"
21,"mmm 😋 

tacos were good 

the movie is next but we are waiting until it’s dark 

having an awesome weekend with my daughter ! and got to write the past few days","mmm  

tacos were good 

the movie is next but we are waiting until it’s dark 

having an awesome weekend with my daughter ! and got to write the past few days",['😋']
