ID,Comments,raw text,emojis
1,"happy easter 🐣 🐰 everyone 
bath  body works 💙 sales
40% off everything  
all mists  body cream $5.50
not included in 40% off promotion.
just added! ends at 6pm online!
free shipping on $50
used code - eastergift","happy easter   everyone 
bath &amp; body works  sales
40% off everything  
all mists &amp; body cream $5.50
not included in 40% off promotion.
just added! ends at 6pm online!
free shipping on $50
used code - eastergift","['🐣', '🐰']"
2,happy easter friends! 🐣🐰💛,happy easter friends! ,"['🐣', '🐰']"
3,hope everyone has had a nice easter. 🐣,hope everyone has had a nice easter. ,['🐣']
4,good morning ☀️ happy easter! 🐣 🐰 hope your days goes well 😘,good morning ☀️ happy easter!   hope your days goes well ,"['🐣', '🐰']"
5,"thank you
many blessings to you
🙏✝️🙏
🐣🐇🐥","thank you
many blessings to you
✝️
","['🙏', '🙏', '🐣', '🐇']"
6,happy easter 🐣🐰,happy easter ,"['🐣', '🐰']"
7,happy easter to you and yours 🐣,happy easter to you and yours ,['🐣']
8,"happy easter everyone. today is our biggest day for our baby bunny, who’s ready his day. good luck finding all the eggs. 🐣
#bumpermonsters #oc #animeoc #cuteart #illustration #easter #easter2023 #バンパーブロック #イラスト","happy easter everyone. today is our biggest day for our baby bunny, who’s ready his day. good luck finding all the eggs. 
#bumpermonsters #oc #animeoc #cuteart #illustration #easter #easter2023 #バンパーブロック #イラスト",['🐣']
9,"some fluffy willow 'goslings' for easter #wildflowerhour
- the catkins of goat willow were traditionally called goslings once the yellow stamen had emerged and i think it suits them 🐣","some fluffy willow 'goslings' for easter #wildflowerhour
- the catkins of goat willow were traditionally called goslings once the yellow stamen had emerged and i think it suits them ",['🐣']
10,"happy easter everyone! 🐰🌷🥚🐣 i hope you all have a wonderful day filled with love, joy, and lots of chocolate! 🍫🐰 and while you're celebrating, don't forget to check out the lost song by sonic emancipation on youtube and give it a thumbs up! 🎶👍","happy easter everyone!  i hope you all have a wonderful day filled with love, joy, and lots of chocolate!  and while you're celebrating, don't forget to check out the lost song by sonic emancipation on youtube and give it a thumbs up! ","['🐰', '🥚', '🐣', '🐰', '👍']"
11,the easter doge has been our house 🐣😂💯,the easter doge has been our house ,"['🐣', '😂']"
12,happy easter!!🐣,happy easter!!,['🐣']
13,happy easter 🐣,happy easter ,['🐣']
14,happy easter 🐣.,happy easter .,['🐣']
15,i just finished up a paper! gahhhh seemed like forever getting through the reading material! figured i’d stop in and tell y’all how much i love y’all and how much y’all mean to me this easter sunday! 🐣 phew i need to 🪒,i just finished up a paper! gahhhh seemed like forever getting through the reading material! figured i’d stop in and tell y’all how much i love y’all and how much y’all mean to me this easter sunday!  phew i need to ,['🐣']
16,"🐣egg 🥚 
the ocs got together and dyed eggs here’s everyone’s eggs. i even included  and her ocs in on the fun 
🥚🐣🐇
#happyeaster","egg  
the ocs got together and dyed eggs here’s everyone’s eggs. i even included  and her ocs in on the fun 

#happyeaster","['🐣', '🥚', '🥚', '🐣', '🐇']"
17,"happy easter everyone , we still found time for the astro and the arsenal/liverpool game in the pub between all the chocolate eating 🐣","happy easter everyone , we still found time for the astro and the arsenal/liverpool game in the pub between all the chocolate eating ",['🐣']
18,happy easter 🐣,happy easter ,['🐣']
19,happy easter 🐣,happy easter ,['🐣']
20,"happy easter from all at lordship rec parkrun!

something to enjoy with your chocolate this evening, our eggcelent run report from yesterday's event. 🐣🌷🐇","happy easter from all at lordship rec parkrun!

something to enjoy with your chocolate this evening, our eggcelent run report from yesterday's event. ","['🐣', '🐇']"
21,"happy easter from all the team at grommets ltd, we hope you all had a eggstra special easter weekend🐰🐣🍫

just a reminder we are closed over the easter break and reopen on tuesday 11th at 8am.

#happyeaster #easter2023 #easterbunny #bankholidayweekend #eastersunday #ukmfg","happy easter from all the team at grommets ltd, we hope you all had a eggstra special easter weekend

just a reminder we are closed over the easter break and reopen on tuesday 11th at 8am.

#happyeaster #easter2023 #easterbunny #bankholidayweekend #eastersunday #ukmfg","['🐰', '🐣']"
22,"happy easter weekend, thrivers! celebrate the occasion with an egg-stra🐣 special sale today  tomorrow only! 💕💐
15% off! on orders $200  ☝🏻
15% off, free shipping + free sculpt on orders $400  ☝🏻
use promo code: eggstra
don’t wait, hop to it!! 🐰","happy easter weekend, thrivers! celebrate the occasion with an egg-stra special sale today &amp; tomorrow only! 
15% off! on orders $200 &amp; ☝
15% off, free shipping + free sculpt on orders $400 &amp; ☝
use promo code: eggstra
don’t wait, hop to it!! ","['🐣', '🐰']"
23,happy easter from logics technology! 🐰🌷🐣🥕 #happyeaster,happy easter from logics technology!  #happyeaster,"['🐰', '🐣']"
24,"i love him so much 😂 this is super cute, bee! happy easter 🐣","i love him so much  this is super cute, bee! happy easter ","['😂', '🐣']"
25,happy easter 🐣,happy easter ,['🐣']
26,"happy easter everyone. enjoy some time with the easter bonnie. 🐰🐣

#fivenightsatfreddys #fnaf #fnaffanart","happy easter everyone. enjoy some time with the easter bonnie. 

#fivenightsatfreddys #fnaf #fnaffanart","['🐰', '🐣']"
27,"happy easter to our faculty, friends, and community. 🐣 visit us at patterson after the break to hatch a plan for sprucing up your class.","happy easter to our faculty, friends, and community.  visit us at patterson after the break to hatch a plan for sprucing up your class.",['🐣']
28,"hoppy easter!! 🐇🐣
batting eggs instead of balls today?! watch out for those hollow eggs! 🙃⚾️","hoppy easter!! 
batting eggs instead of balls today?! watch out for those hollow eggs! ⚾️","['🐇', '🐣']"
29,but it's not in my wallet 🤨,but it's not in my wallet ,[]
