ID,Comments,raw text,emojis
1,"happy easter, ashleigh. ☕️🐇🥚💐❤️","happy easter, ashleigh. ☕️❤️","['🐇', '🥚']"
2,😍🥰wishing you the happiest of easter🐇🫶🏾🐣🥳,wishing you the happiest of easter🫶,"['😍', '🥰', '🐇', '🐣', '🥳']"
3,happy easter! 🐰🐇🐣,happy easter! ,"['🐰', '🐇', '🐣']"
4,"happy easter :)
🐇","happy easter :)
",['🐇']
5,good morning emily and happy easter 🥰🐣🐇,good morning emily and happy easter ,"['🥰', '🐣', '🐇']"
6,happy easter and blessed new week samiii 🐇🐣🌿🌺🥰😘,happy easter and blessed new week samiii ,"['🐇', '🐣', '🥰']"
7,gm peter! have a great day! 🐇✨,gm peter! have a great day! ✨,['🐇']
8,ben have a fantastic and blessed easter sunday   thanks for you a do 💜💛🙏🙏🙏🐇🐰🐣✝️,ben have a fantastic and blessed easter sunday   thanks for you a do ✝️,"['🙏', '🙏', '🙏', '🐇', '🐰', '🐣']"
9,"happy easter from all of us at jcb! 

if you see the golden bunny, screenshot it and send us a message to win an easter gift 🎁 🐇","happy easter from all of us at jcb! 

if you see the golden bunny, screenshot it and send us a message to win an easter gift  ",['🐇']
10,get them off dad 😂happy easter 🙏🐇❤️,get them off dad happy easter ❤️,"['😂', '🙏', '🐇']"
11,"🌍 #thepoweroflove 🤙 🌎 
#sincerely 🌹 ❤️‍🔥 💋 
#frommetoyou 🌎 
#withlove 🖤 💝 
👑 🐰 #yawsmickeymike 
#yaws 🎉 🙌 ❤️‍🔥 💋 🤙 🌍 
🥕 🐇 🍨 🍕 🧃 🍫 ☕ 💞"," #thepoweroflove   
#sincerely  ❤️‍  
#frommetoyou  
#withlove   
  #yawsmickeymike 
#yaws   ❤️‍    
      ☕ ","['🔥', '🐰', '🎉', '🔥', '🐇']"
12,happy easter 🐇🌺🌼🌹🌻🌷,happy easter ,['🐇']
13,"good morning! 💜

""happy easter"" many blessings! 🥚🐇🐰","good morning! 

""happy easter"" many blessings! ","['🥚', '🐇', '🐰']"
14,"happy easter! 🐣🐇 🎉 

#sundaystyle on #eastersunday featuring a beautiful yellow dress teamed with a cashmere wrap, statement headpiece, my wedding #manolos and the two cutest sidekicks you ever met! #mama #soprano #style","happy easter!   

#sundaystyle on #eastersunday featuring a beautiful yellow dress teamed with a cashmere wrap, statement headpiece, my wedding #manolos and the two cutest sidekicks you ever met! #mama #soprano #style","['🐣', '🐇', '🎉']"
15,happy easter everyone! try not to overdose on chocolate!!🐰🐇🐇👯‍♀️👯👯‍♂️🥚🍳🪺🍫,happy easter everyone! try not to overdose on chocolate!!‍♀️‍♂️🪺,"['🐰', '🐇', '🐇', '🥚', '🍳']"
16,happy easter🐇 everyone,happy easter everyone,['🐇']
17,happy easter sunday everyone! 🐇🐑,happy easter sunday everyone! ,['🐇']
18,happy easter 🐇✝️⛪️💕,happy easter ✝️⛪️,['🐇']
19,happy easter my dear!🐧🤗🐣🐇🌸,happy easter my dear!,"['🐣', '🐇']"
20,"gm frank ☕️🐣☀️

happy easter to you 🐇","gm frank ☕️☀️

happy easter to you ","['🐣', '🐇']"
21,"hii sweetie,  hope you are well, and happy easter to you and yours,  if you celebrate. big hugs. 🐣🐇🌷🌷","hii sweetie,  hope you are well, and happy easter to you and yours,  if you celebrate. big hugs. ","['🐣', '🐇']"
22,happy easter yall 🐇🐰,happy easter yall ,"['🐇', '🐰']"
