ID,Comments,raw text,emojis
1,the daughter  son 👫🐇😍,the daughter &amp; son ,"['🐇', '😍']"
2,"that's so cool!! 😍 if you ever track it down, please share. i'd get a kick out of that forsure.","that's so cool!!  if you ever track it down, please share. i'd get a kick out of that forsure.",['😍']
3,"hi, my sean 😍🥰. l've missed you, my friend, and i hope all is beautiful in your world.","hi, my sean . l've missed you, my friend, and i hope all is beautiful in your world.","['😍', '🥰']"
4,jungkooooook 😍💖🥰🥹💋🌼🌈✨🍓🥂 (i was gonna 🔪 about 🛴 but whatever),jungkooooook ✨ (i was gonna  about  but whatever),"['😍', '🥰', '\U0001f979']"
5,the face is facing 😩😍😍,the face is facing ,"['😍', '😍']"
6,very beautiful 😍😍😍 picture and ceo,very beautiful  picture and ceo,"['😍', '😍', '😍']"
7,"that's crazy 😍😍😍😍😍

so so so cool 😱😱😱","that's crazy 

so so so cool ","['😍', '😍', '😍', '😍', '😍']"
8,so beautiful! vibes cutie daddy with the blanket 😍😅,so beautiful! vibes cutie daddy with the blanket ,"['😍', '😅']"
9,"had a beautiful day with these grands 😍 our italian meal was a hit , happy easter to all my friends , i hope you all had a blessed day !!!","had a beautiful day with these grands  our italian meal was a hit , happy easter to all my friends , i hope you all had a blessed day !!!",['😍']
10,"you all need to hear this🔥🔥🤍
pls go help me tag  under the comment section as much as you can🙏😍😩😫🤍","you all need to hear this
pls go help me tag  under the comment section as much as you can","['🔥', '🔥', '🤍', '🙏', '😍', '🤍']"
11,this week i overworked myself sm and i’m abt to do it again 😍😍,this week i overworked myself sm and i’m abt to do it again ,"['😍', '😍']"
12,that thang was made for sittin on faces 🙃🙃🙃🙃😍😍😍😍😍❤❤❤,that thang was made for sittin on faces ❤❤❤,"['😍', '😍', '😍', '😍', '😍']"
13,i got two plates to get after work and one otw to me 😍😍😍🔥🔥,i got two plates to get after work and one otw to me ,"['😍', '😍', '😍', '🔥', '🔥']"
14,"good morning 😍
wish me best of luck for papers😭
#psychology","good morning 
wish me best of luck for papers
#psychology","['😍', '😭']"
15,all my ppls are legit top tier 😍😍!!,all my ppls are legit top tier !!,"['😍', '😍']"
16,award received 🤩🥳 thank you very much  i wish you the greatest success ☺️🎉❤️,award received  thank you very much  i wish you the greatest success ☺️❤️,"['🥳', '🎉']"
17,"got you blocked excited to never talk 😍
i’m so sorry for your loss 😭
i feel so much lighter like a feather with you off my mind 😌😌😌","got you blocked excited to never talk 
i’m so sorry for your loss 
i feel so much lighter like a feather with you off my mind ","['😍', '😭']"
18,thank you! so excited 😍,thank you! so excited ,['😍']
19,we know what you meant wookie 🫰🏻😍,we know what you meant wookie ,['😍']
20,naaah you're the sexy bitch 😍  and also mine,naaah you're the sexy bitch   and also mine,['😍']
21,"ctrl, sos, isolation, red moon in venus, bday, anti 😍","ctrl, sos, isolation, red moon in venus, bday, anti ",['😍']
22,"#thalapathyvijay
  good morning ♥️♥️😍","#thalapathyvijay
  good morning ♥️♥️",['😍']
23,aw how lovely 😍,aw how lovely ,['😍']
24,this blue on you omg?? 😍😍😍,this blue on you omg?? ,"['😍', '😍', '😍']"
25,"jewelry play, nail biting/picking, knuckle popping, floppy hands, kicking my legs, i have more i cant think of 😍","jewelry play, nail biting/picking, knuckle popping, floppy hands, kicking my legs, i have more i cant think of ",['😍']
26,"i guess maybe the missing byhumanmade igstory yesterday was abt this yt post! 🤭😁🤣
let's check it out!🤩😍


#leeseunggi #이승기
#humanmade #roadtrip
#음악시간 #musictime","i guess maybe the missing byhumanmade igstory yesterday was abt this yt post! 
let's check it out!


#leeseunggi #이승기
#humanmade #roadtrip
#음악시간 #musictime","['🤣', '😍']"
27,"💘🤨😍😌😄
week join discuss popular it safe.
#恋物癖 #性感 #肉棒","
week join discuss popular it safe.
#恋物癖 #性感 #肉棒",['😍']
28,"💥🥰😌😍🤨
policy hit painting arm believe down.
  #伟哥    #大乳晕    #手冲实录","
policy hit painting arm believe down.
  #伟哥    #大乳晕    #手冲实录","['🥰', '😍']"
29,love getting out of work early 😍,love getting out of work early ,['😍']
30,looking forward to another amazing week. hope to see you there. 😍,looking forward to another amazing week. hope to see you there. ,['😍']
31,"god my dolan twins phase was not okay, if i had to choose one grayson. but they’re both hot 🙈😍","god my dolan twins phase was not okay, if i had to choose one grayson. but they’re both hot ",['😍']
32,this giving missy vibes 😍,this giving missy vibes ,['😍']
33,such a beautiful little lady 😍,such a beautiful little lady ,['😍']
34,"such a fine pretty woman, always rt-ing my shiit for me 🙏😍","such a fine pretty woman, always rt-ing my shiit for me ","['🙏', '😍']"
35,my wife is cuter than yours 😍😍😍,my wife is cuter than yours ,"['😍', '😍', '😍']"
36,"i never got to see a full ep. that was before my time. i think it was on nick at nite. i do know watching electra woman and dyna girl, judy strangis was in 222. 😍 omg she was hot!","i never got to see a full ep. that was before my time. i think it was on nick at nite. i do know watching electra woman and dyna girl, judy strangis was in 222.  omg she was hot!",['😍']
37,every time i see you bb my mouth drops and drool comes out 🥰😍🤤💋 you are so fricken sexy and beautiful ❤️💋,every time i see you bb my mouth drops and drool comes out  you are so fricken sexy and beautiful ❤️,"['🥰', '😍']"
