ID,Comments,raw text,emojis
1,😂 oooo the year i intend to send only the one song due to my level of adoration for it 🥰 #forgotten80s, oooo the year i intend to send only the one song due to my level of adoration for it  #forgotten80s,"['😂', '🥰']"
2,stooop!! you're making me cry even more! 😭😭 and i kinda miss your voice now btw! 🥹🫰🫶,stooop!! you're making me cry even more!  and i kinda miss your voice now btw! 🫶,"['😭', '😭', '\U0001f979']"
3,"take care and get well soon 🥰
#saint_sup #minger","take care and get well soon 
#saint_sup #minger",['🥰']
4,so excited to read more things from you — thank you! 🥰,so excited to read more things from you — thank you! ,['🥰']
5,omg that’s one of my favourite taylor’s songs 🥰,omg that’s one of my favourite taylor’s songs ,['🥰']
6,"good afternoon 😌 

i choose to be happy, thankful, and joyful.

what do you choose today?

happy sunday! 🥰","good afternoon  

i choose to be happy, thankful, and joyful.

what do you choose today?

happy sunday! ",['🥰']
7,baby should be off soon 🥰,baby should be off soon ,['🥰']
8,"everybody i’ve spoken to irrespective of gender, age or sexuality has had a genuine love for the man. he had the ability and the very rare ability to connect with anybody. he will be forever missed 🥺🤧🥰","everybody i’ve spoken to irrespective of gender, age or sexuality has had a genuine love for the man. he had the ability and the very rare ability to connect with anybody. he will be forever missed ",['🥰']
9,"she is taru-chan one of the most beautiful, beautiful and perfect women that exist in the world 😊💕💕💕💕she is my crush 🥰","she is taru-chan one of the most beautiful, beautiful and perfect women that exist in the world she is my crush ",['🥰']
10,"😆🥰😌💌😍
camera candidate agency whatever any.
 #王雨纯  #魔物喵  #聂小雨","
camera candidate agency whatever any.
 #王雨纯  #魔物喵  #聂小雨","['🥰', '😍']"
11,i love him even more in his soft cute version. thanks!!! i'll have sweet dreams after these 2 pics 🤭🥰,i love him even more in his soft cute version. thanks!!! i'll have sweet dreams after these 2 pics ,['🥰']
12,"it’s just to dark for me. this is the blue ,trim around window,i plan on painting the kitchen doors to match the sunroom/ bird room 🥰","it’s just to dark for me. this is the blue ,trim around window,i plan on painting the kitchen doors to match the sunroom/ bird room ",['🥰']
13,"🤏💘🥰😄😋
system she such alone threat boy.
#后妈 #男s #后妈","
system she such alone threat boy.
#后妈 #男s #后妈","['🥰', '😋']"
14,aaahhhh i love it thank you so much 🥰💖❤️💖❤️,aaahhhh i love it thank you so much ❤️❤️,['🥰']
15,"😅👌💘🥰😋
position throughout hotel apply.
#性能力 #肛塞 #性能力","
position throughout hotel apply.
#性能力 #肛塞 #性能力","['😅', '🥰', '😋']"
16,bc we be having the best of fun 😭🥰,bc we be having the best of fun ,"['😭', '🥰']"
17,hope you have a lovely holiday 🥰🐰,hope you have a lovely holiday ,"['🥰', '🐰']"
18,officially in spring weather 🌸🥰,officially in spring weather ,['🥰']
19,so excited 🥰 especially for track 3 ft. hobi and track 9 ft. woosung 🥺,so excited  especially for track 3 ft. hobi and track 9 ft. woosung ,['🥰']
20,"💘🤨😄💫🥰
general lose push family let serve.
#线下 #认主 #线下","
general lose push family let serve.
#线下 #认主 #线下",['🥰']
21,"oh my god!, these babies are killing me , absolutely adorable 🥰","oh my god!, these babies are killing me , absolutely adorable ",['🥰']
22,"🥰😄😅👌😆
heavy maybe bag cultural agent international.
 #曝光  #正装直男  #足控褔利","
heavy maybe bag cultural agent international.
 #曝光  #正装直男  #足控褔利","['🥰', '😅']"
