ID,Comments,raw text,emojis
1,added this little one to my throne 🥺✨,added this little one to my throne ✨,[]
2,aaahhhh i love it thank you so much 🥰💖❤️💖❤️,aaahhhh i love it thank you so much ❤️❤️,['🥰']
3,"introducing bridge 📷

as you may already know, we have a new #bridge page on syncswap.","introducing bridge 

as you may already know, we have a new #bridge page on syncswap.",[]
4,i love that you absolutely slay will be buying when im not broke from trying to find an outfit 💀💀💀,i love that you absolutely slay will be buying when im not broke from trying to find an outfit ,"['💀', '💀', '💀']"
5,what if i told you i'm a mastermind 🌑✨,what if i told you i'm a mastermind ✨,[]
6,please what channel and time?? 😭😭,please what channel and time?? ,"['😭', '😭']"
7,but are we surprised? 😅 glad everyone is safe tho,but are we surprised?  glad everyone is safe tho,['😅']
8,"i legit stopped right before penny died, i didn't know phyrra was dead for the longest time it's almost embarrassing 😭","i legit stopped right before penny died, i didn't know phyrra was dead for the longest time it's almost embarrassing ",['😭']
9,but!! delicious food???? 🫢💖✨,but!! delicious food???? ✨,[]
10,because my mom is not gay???? like what? 😭,because my mom is not gay???? like what? ,['😭']
11,"i had bought a bag that had black beans, brown rice  corn  peppers mixed in  i was making breakfast burritos at first so i took another can of black beans added more rice but wild cause it wasn’t a lot wit more peppers  it’s good as fuck omg🥹","i had bought a bag that had black beans, brown rice &amp; corn &amp; peppers mixed in &amp; i was making breakfast burritos at first so i took another can of black beans added more rice but wild cause it wasn’t a lot wit more peppers &amp; it’s good as fuck omg",['\U0001f979']
12,this candiace  porsha feud is hilarious too me i don’t think candiace really want the smoke though 😭🤣 #rhugt3 #rhugt,this candiace &amp; porsha feud is hilarious too me i don’t think candiace really want the smoke though  #rhugt3 #rhugt,"['😭', '🤣']"
13,like?? the traditions in the us be so unrelated sometimes 💀,like?? the traditions in the us be so unrelated sometimes ,['💀']
14,"oh my gosh---

oh 
this is so cool gosh i can't 😭😭thank you so much!!!
i like it｡⁠:ﾟ⁠(⁠;⁠´⁠∩⁠`⁠;⁠)ﾟ⁠:⁠｡🤍🤍🤍✨🤍✨🤍✨🤍✨🤍✨✨🤍✨🤍✨🤍✨🤍✨✨🤍✨","oh my gosh---

oh 
this is so cool gosh i can't thank you so much!!!
i like it｡⁠:ﾟ⁠(⁠;⁠´⁠∩⁠`⁠;⁠)ﾟ⁠:⁠｡✨✨✨✨✨✨✨✨✨✨✨✨","['😭', '😭', '🤍', '🤍', '🤍', '🤍', '🤍', '🤍', '🤍', '🤍', '🤍', '🤍', '🤍', '🤍']"
15,"i swear i always want to cut my hair until i curl it🥰🥰
selflove sunday🫶🏼","i swear i always want to cut my hair until i curl it
selflove sunday🫶","['🥰', '🥰']"
16,lmfaooooo yea bye idk who let me drink tequila and mimosas 😂,lmfaooooo yea bye idk who let me drink tequila and mimosas ,['😂']
17,heyyy 😍 i just wanna remind someone that everything will be #ok‼️,heyyy  i just wanna remind someone that everything will be #ok‼️,['😍']
18,"👀 same goes for all the other memorabilia!!

(there’s even another buff for when your sim or the other sim is no longer alive)"," same goes for all the other memorabilia!!

(there’s even another buff for when your sim or the other sim is no longer alive)",['👀']
19,when you have nothing to worry about on the sui project scoreboard 😉  #sui,when you have nothing to worry about on the sui project scoreboard   #sui,['😉']
20,david party trick and we get it your good with your tongue !!!! 🙄,david party trick and we get it your good with your tongue !!!! ,[]
21,just the little bit of my knee you can see twitching when it does it 🤣 probably is tiredness i’ve been non stop all week,just the little bit of my knee you can see twitching when it does it  probably is tiredness i’ve been non stop all week,['🤣']
22,✨💗 message of the week. love the kid… 💗🐣,✨ message of the week. love the kid… ,['🐣']
23,"awww claireeeee, you wonderful being - thank you 💚🌱🫶🏼 
a reflection of your own beautiful  kind heart 🪞✨","awww claireeeee, you wonderful being - thank you 🫶 
a reflection of your own beautiful &amp; kind heart 🪞✨",[]
24,"hey sexy prez, what’s up boss 😊","hey sexy prez, what’s up boss ",[]
