ID,Comments,raw text,emojis
1,finally. it's wrap. well done enigma babies   and the whole team. becareful on the way back home. have a rest naa 🤍,finally. it's wrap. well done enigma babies   and the whole team. becareful on the way back home. have a rest naa ,['🤍']
2,jennie ruby jane calvin klein global ambassador and queen of sold out 🖤🤍,jennie ruby jane calvin klein global ambassador and queen of sold out ,['🤍']
3,"i salute you! let me wish you plenty of joy the b-day fun begin. may you be a source of blessings. the sun decided to shine at its glossiest of her b-day. mirth, gregariousness, and smile witness how bright her existence. happy anni-birth-sary lovely yoo jimin. 🤍","i salute you! let me wish you plenty of joy the b-day fun begin. may you be a source of blessings. the sun decided to shine at its glossiest of her b-day. mirth, gregariousness, and smile witness how bright her existence. happy anni-birth-sary lovely yoo jimin. ",['🤍']
4,it’s the hope that kills you! 💙🤍,it’s the hope that kills you! ,['🤍']
5,low quality pic of a high quality being🫶🏽,low quality pic of a high quality being🫶,[]
6,"do you want to win  18540? 

all you have to do is be a hunter 🔎

goodluck everyone! 🙏","do you want to win  18540? 

all you have to do is be a hunter 

goodluck everyone! ",['🙏']
7,"just had to spell scars last name at the pharmacy... 

""is that italian?!"" 

what gave it away ma'am, the 8 letters or the vowel on the end? 😅😅","just had to spell scars last name at the pharmacy... 

""is that italian?!"" 

what gave it away ma'am, the 8 letters or the vowel on the end? ","['😅', '😅']"
8,"i wonder who’s the first member to greet karina a happy birthday 🤍 or are they drinking 😂

blooming karina day
#지민아_마이의_푸른봄은_너야
#welcome_to_mykarina","i wonder who’s the first member to greet karina a happy birthday  or are they drinking 

blooming karina day
#지민아_마이의_푸른봄은_너야
#welcome_to_mykarina","['🤍', '😂']"
9,have a great time girl 🤍,have a great time girl ,['🤍']
10,black is indeed beautiful 🤍💫,black is indeed beautiful ,['🤍']
11,release physical copies and take my money you cowards 🤍🤗,release physical copies and take my money you cowards ,['🤍']
12,will extend until 11:45 🤍,will extend until 11:45 ,['🤍']
13,take care 🤍,take care ,['🤍']
14,shit be so funny to me 😂,shit be so funny to me ,['😂']
15,thank you everyone who voted 💜️,thank you everyone who voted ️,[]
16,since we are witches it’s obviously written in invisible ink 😎🤍,since we are witches it’s obviously written in invisible ink ,"['😎', '🤍']"
17,"happy birthday karina sayang. you have aged and grown more mature, live your life at 23 years old now with happiness. once again happy birthday 🤍","happy birthday karina sayang. you have aged and grown more mature, live your life at 23 years old now with happiness. once again happy birthday ",['🤍']
18,"⠀
⠀
 ⠀to those who've been interacting with me recently, thank you so much, it truly does mean a lot. 🤍
⠀
⠀","⠀
⠀
 ⠀to those who've been interacting with me recently, thank you so much, it truly does mean a lot. 
⠀
⠀",['🤍']
19,i stay otp with destiny and dannny for hourssss😂,i stay otp with destiny and dannny for hourssss,['😂']
