ID,Comments
1,Text
2,Happy Easter😀🐇🥚
3,#eggs Easter eggs today will surely be delicious. #Eggs #Eggs #Eggs.🥚🥚🥚🍳🍳🍳
4,We hope everyone has a Hoppy Easter! 😉🐰🥚🐣🌷 #HappyEaster l #limerockpark
5,"🐰🥚 Get ready to hop into the most egg-citing digital art drop this #Easter! I just entered hoppin' Easter NFT Giveaway for a chance to win a limited edition, seasonal #WAXNFT. Enter here:"
6,For Easter I decided I’ll impregnate one of you. Happy Easter 🥚
7,Happy Easter 🐰🥚💖
8,Happy Easter 🐣🐇🐰🐥🥚
9,🐰🎉 Happy Easter Everyone! 🎉🐰 Wishing you all a joyful and egg-citing celebration! 🌷 Public mint starts at 4 PM East Time! 🚀 Complete the collection for a fantastic reward! 🎁 Find the 3 hidden Easter eggs 🥚🔍 to win a rare Genesis Chief Bull  unlock more surprises! 🌟
10,"Hoppy Easter! Wishing you a day filled with love, joy, and lots of chocolate. 🐰🥚🌷 #HappyEaster #EasterWeekend #DigitalMarketing"
11,Same to you!🤗🐰🐇🥚
12,Happy Easter 13 🐰🐣🥚
13,"🙌 𝗞𝗜𝗗'𝗦 𝗚𝗢 𝗙𝗥𝗘𝗘 We're offering FREE entry for U16's with an adult, as well as fun for all the family at no extra cost. 🥚 Easter Egg Hunt (1:30-2:30pm) 🎨 Easter crafts - 1891 Lounge 🪄 Pre-match magician 🍺 Cider  Sausage stand (not free😅)"
14,Great Morning ⛅️ Happy Easter 🐰 🐣 Looks as though I found the Golden Egg 🥚 or should i say the Mendocino grape 🍇 🥶😶‍🌫️💨 Egg!!
15,My little nieces on their egg hunt 🥚🐣🍫
16,Happy Easter! 🐰🥚⛪ May God bless you. 👼✨
17,Full time North Munster Cup. Nenagh Ormond 27. Bruff 19. Well done everyone💪🔴🥚
18,Happy Easter Chris ~ hope you have a great day as well 🤗🤍🥚🐰
19,"Happy Easter, 🐣 🕊🥚 Have a very hoppy day 🐇🐇 #EasterSunday"
20,Happy Easter from all of us at ESPN Wichita! 🐰 🥚 🌸
21,you t🥚🥚
22,Same here Gator.woke up at 5am went back to sleep 💤😴. Up at 7:30 with my 2 cats on the bed. 😺😼🐾 Have a excellent day .💗🐰🐇✝️🛐💞🥰💗💐🥚
23,🥚🐰 Wishing you all a lovely Easter weekend with your loved ones. Enjoy your time and have a great holiday! 🌺 #happyeaster2023
24,"😂😂 to you as well, happy Easter Conrad! 🙏🐰✨🥚🌸"
25,🥚🥚 making am omelette. ❤️🎁
26,"""Happy Easter from our egg-cellent cooperative housing association! Wishing you a hoppy day filled with lots of chocolate and community spirit 🐰🌷🥚 #cooplife #Easter2023"""
27,Nice. Some fantastic photos. Happy Easter. 🐇🥚
28,Luci had scrambled eggs fro breakfast and has just tucked in to her Easter egg 🤣💕🍫🥚💕🐾🐾
29,Letztes Jahr 🎯 #Langohr...🐇 #Hase 🏵️🌱🌸🌱🌱🍀🌱🌱🥚🌱🌱🐰🌱🌱🦔🌱🌸🌼🌱
30,happy easter myluvvv 🥚🥚🥚
31,Happy Easter! 🐰🥚🐣
32,Wishing everyone a 2D hand drawn Easter🐰🥚
33,Moin Paolo. Ich wünsche dir frohe Ostertage. 🌷🐰🥚
34,#HappyEaster to everyone who celebrates today 🐰🥚🧺. #EasterDay
35,🥚👋🐌
36,"Hallelujah, praise the one who set me free Hallelujah, death has lost its grip on me You have broken every chain There's salvation in your name Jesus Christ, my living hope #livinghope #jesushasrisen #EasterSunday Happy Easter ✝️🙏🐰🥚"
37,Drowning (Feat. 가은 of 라임라잇) - BOBBY [뮤직뱅크/Music Bank] | KBS 230324 방송 ライムライトの子丸餅みたいでかわいい🥚
38,Wishing you a happy Easter Monday filled with love and happiness 🐇🥚✝️🐣 #happyeaster #springtime #realestate
39,Good morning Ruth ✝️⚘️☕️🥚🌟🐣🐇🙏
40,Happy #Easter 🥚 Enjoy the celebrations🐔🍗 with family 👨‍👩‍👦‍👦 and friends. #EasterSunday
41,Happy Easter Everyone 🐰🥚
42,Easter Egg🥚✨作りかいっ！！ 良いけどさぁ...
43,"Happy Easter, everyone! 🐰🌷 🥚✨ Whether you're spending the day with family or enjoying some much-needed alone time, I hope your day is filled with love, joy, and lots of chocolate! 🍫🐣 #Brigantine #NJ #SouthJersey #AtlanticCounty #HappyEaster #Easter2023 #FamilyTime"
44,I just wanted to tell everyone an important announcement… I’m dipping some bread into a runny egg RIGHT NOW 👁️👄👁️ and its very tasty… 🥚🍞
45,Happy Easter (If you celebrate) 🥚🐇
46,"The St. Augustine Prep Football Program would like to wish all of our families, alumni, and friends a Happy Easter!! ✝️👑🐰🥚🏈 #HermitPride 🔝"
47,a wise man also said that you should not put all your eggs in one basket 🥚🪺
48,Happy Easter and Happy birthday Levi! 🥳🐇🥚
49,Hoppy Easter from 🐰🌷🥚 Enjoy the day with your loved ones and indulge in some sweet treats! 🐣
50,🐰🥚 Happy Easter! 🥚🐰 Drop you #BAYC/#MAYC to celebrate this day with Easter 🥚! #NFT #Web3
51,Most depressing space engineer ever but 🐰 May you get many eggs 🥚
52,"Happy #Easter Sunday Dr. Was looking forward to tune in to this interesting conversation, but I guess we're all now have to sit  relax and enjoy watching an tradition unlike any other at"
53,Happy Easter!! Or if you don’t celebrate it… Happy Sunday! 🌈🐰🌸🥚🍫
54,"""Hoppy"" Easter to all who celebrate! 🐰🥚"
55,"#HappyEaster, everyone! 🐰🐣🌷 Hope your day is filled with love, joy, and blessings! To make your #Easter celebrations even more egg-citing, we've got an #EasterTriviaQuiz for you! 🥚📝 Comment below your answers! 🐇🐾 #coevento #eastercelebration #easter2023 #easterquiz"
56,Good morning 🐇✝️🐰🐣🌟🥚⚘️☕️
57,Happy Easter #cardano ! Hope the Easter bunny found you all 🐰🐣🥚
58,"I heard a sir tank was going live ! Trying #SuperMarioOdyssey out for the first time , also talking about our #SuperMarioBrosMovie movie review ! Come stay and chill with some coffee and Happy easter everyone ❤️🥚🐣 #easter #vibes #coffee #twitch"
59,"Happy Egg Day 🥚 🐣 🐰 If streams today, he owes each of his mods an Easter egg."
60,🥚 Happy Easter to all our members! 🥚
61,"Happy Easter from Isogent! 🐰🌷🥚 May your day be filled with lots of love, laughter, and of course, chocolate! 🍫 #HappyEaster #JesusIsRisen #Easter #Holiday #April"
62,Have A Bless Easter Sunday My Sweetest Friend!!! 💙💐💙🐣🥚🙏🏽😘🐰
63,You too Bro 🥚
64,Happy Easter today EVERYWHERE! 🐇🐰🥚🐣
65,"Happy Easter!🥚🐇 I should've said this on Friday, but consider celebrating the Irish Way: by starting a revolution to overthrow your oppressors!"
66,Happy E🐰A🐣S🐇T🌼E🥚R! #happyeaster #easter #signalflags #nauticalsignalflags #newportri #newport
67,Happy Easter Ron🐰🥚
68,Easter is next Sunday as I'm not Catholic but Christian. But anyway Happy Easter to everyone 🥚
69,"Happy Easter, y'all! Have a farm fresh egg right out of a chicken's bottom. 🥚"
70,"Happy Easter Pixie! Hope your day is filled with love, laughter and lots of easter eggs! 💚🥚🐰"
71,6 years ago today. Happy Easter pals!🐣🥚🥚🐰
72,Happy Easter Everyone! (here have an egg 🥚)
73,Happy Easter to all who celebrate 🥚💙💀 . Art cred . #gratefuldead #easter #eastereggs #easterbasket #easteregghunt #EasterBunny
74,"Wow. Haven't been to Apopka in forever! 😅😅 That's super early, but Have fun. Lol🥚🐣🚁 🌇"
75,Happy Eastern🥚🐰
76,Happy Easter Si.......🐣🥚yes your absolutely correct cropped out the sawdust on the floor too....🤣🤣🤣🤣xx
77,Wishing you a happy and heartwarming holiday from the Genesis of Conshohocken team! 🐰🌷🥚 #Easter #FamilyTime #SpringVibes
78,"Hop into Easter with the Conicelli Family! Wishing you a happy and heartwarming holiday 🐰🌷🥚 We're open tomorrow, April 10th, and look forward to seeing you. #Easter #FamilyTime #SpringVibes"
79,"Hippity, hoppity, Happy Easter from all of us at BC  Associates! 🐰🥚 Wishing you and your loved ones a day filled with joy, happiness, and lots of sweet treats. 🌷🐣 #HappyEaster #MarketingAgency #SpringVibes"""
80,🥚 can I offer you an egg on this trying day?
81,Today 🗓 is EASTER!! 🐰🗓🔙 Jesus's 💒 Church Sanctioned Fursona™ 👀🙏🙊(aka the Easter Bussy) 🐰🐇😉 is ➡️CUMMING 😫💦 2 DROP ⬇️ his 👶🐤 BABY C🅾️CK🥚🐣 in ur lil pink basket👜😩 til its OVERFLOWING 🤤😫🥚 with his Rainbow Eggs 🥚🏳️‍🌈🤤👁️🍳😫
82,🔎🥚 Hop into the Easter spirit with an egg-citing Easter Egg Hunt on Discord! 🐰🌷 Find one of the 57 hidden eggs on the server and win a prize. Happy hunting! 🐣🥳 #EasterEggHunt #DiscordFun
83,"[4/4] Original story written by as a dare, but he really went out of his way to create this masterpiece 💕"
84,Happy Easter to all my friends and family!! 🐰🐣🥚
85,"[1/4] Happy Birthday to my bby Mo Ran!! I illustrated the romantic tale of Wormning 🥺👉👈 Please don't block me, I swear that I am semi-normal. #2ha #二哈和他的白猫师尊 #Ranwan"
86,Happy 🥚 to you too
87,Good morning Michele ☕️ ⚘️🥚🌟🐣🐰
88,Good morning! Happy Easter if you celebrate 🐣🥚
89,Happy Easter! 🐰🐈🐈‍⬛🥚💐❤️💜💚💛
90,"Why have chocolate eggs, when you can hatch real eggs. Welcome our Easter chicks. 🥚🥚🥚🥚😊"
91,Day 99! Bright and early. Happy easter! Have a great day! 🫡🥚🔥
92,Happy Easter 🐰🥚🥚 #NourishingBethesda 🧡💚 #Community #Caring #Nonprofit #MontgomeryCountyMD #Easter
93,"Wishing you a blessed Easter filled with joy, hope, and love. Thank you for your continued support. Happy Easter from RawBonus Team! 🐰🥚🐣"
94,I'm home 🌴
95,Happy Easter🐰🥚🧺
96,Thank you 🙏🐰🥚🐇🐣
97,Happy Easter to everyone💚🥚☮️🐇💯🐰✌🏻🤟🏻🌿💨🌻🌸👇🏻🌱🪴Have a wonderful day!! #SundayFunday #PositiveEnergy
98,Waking up earlyy after tht late night craft prolly wasnt best idea lol.. but teaching coley Real Reason of Easter makes it all worth it 📖🙏🏻🐇🚫🥚✝🖌
99,Gmgm and Hoppy Easter friend 🐰☕️🥚
100,"In a world full of plain eggs, be FUNK-y Happy Beerster! 🍻 #BeerTapped🍺: Citrus 🥚 Brewery: #funkbrewing Brew Birth: Emmaus, PA"
101,"Good morning Laura 🌊 happy Easter  Passover to you too! thank you, i also have to remind myself to think big. once we realize that we're the ocean we can go with the flow. 🥚🐰"
102,Happy Easter 🐣🥚
103,Happy Easter! Have a 🥚celent day 🎉 got a roast planned I can’t wait. What are you doing today?
104,Happy Easter everyone!!! 🐣 #EasterSunday #Easter
