ID,Comments
1,Text
2,"Haha yep, get Trump😤 All of the problems in this country will be gone. Right? Poof!"
3,So all the “ I’m from Cleveland “ baseball jackets sold out 😤
4,Benny blanco been more like Ben white 😤
5,The disrespect 😤
6,I don’t know what to do with our defence!!😤😤😤😤🤦🏼‍♂️
7,"Mom, dad, son and their family cat and you CANNOT tell me otherwise 😤😭🫶🏻"
8,"GM to anyone who see this. Happy bunny day! chocolate, my beloved 🥹 Since it’s that kinda of day, I’ll say it here: dark chocolate is the best chocolate. 49% Coco? Banger 😎 No wrong answers here 😤 #vtubers"
9,Fuyukisatan though😤 big love for this catboy☝️up there
10,I will NOT accept Tumbili slander on my timeline 😤😤😤
11,"Manchester born, What do you expect! 😤😤😤 I just want us to play like the starting 20 mins in the next 45 mins."
12,The boys should keep their heads man ... you don't pick up fights at anfield😤
13,You see if we attacked and surrounded the ref like this😤 #LIVARS
14,"Youtube hates AJC right now... videos only getting 30 to 50 views... lives throttled like hell almost unwatchable.. censorship sucks! But I'm not giving up! At 6k subs we were killing it last bull cycle! 😤. I've watched yall grow and it's well deserved! Lots of time, effort, and…"
15,"At this point, Xhaka has to go. He created a useless distraction and we concede. This game can go either way now 🙄😤😤😤"
16,"🤣😂it ain’t funny, like look at that awful shit cuhh cmon nie 😤"
17,I hate how people use Easter as an excuse to dress slutty. It makes me so mad seeing all these gorgeous gorgeous girlies in bunny ears and lingerie. 😤👀👀
18,📝👈😈 Time to get to work😤
19,"Xhaka you better hope we win this mate, you brought that crowd to life for no reason 😤"
20,Ben White choosing the worst game to have a disasterclass 😤😤 needs to keep his calm in the 2nd half
21,"Pathetic arsenal going down like that wow 🥴 , shame cos they were playing really good football , tierny is horrible isn’t he 😤"
22,TLJ is the best Star Wars movie and I'll die on that hill 😤😤
23,#LIVARS Alexander-Arnold pushed him in the back! It’s unfair how commentators crucify Xhaka for standing up for himself 😤
24,she’s 12 years old?? 😭😭😭 focus on your study not on twitter 😤 im super uncomfy for what she did.
25,I'm gonna rewatch it after I finish BoJack horseman rewatch 8 😤
26,why does he always have that shit eating grin on all those selfies? :D 😤
27,Got some time to kill today. Who want me. 😤
28,One of the greatest intros ever 😤
29,Why did he bother ordering some? Surely he can also run fast enough to catch the chicken himself 😤
30,😤 Arsenal's record when leading at half-time in the #PremierLeague this season: ✅ 14 wins 🤝 1 draw ❌ 0 losses 🤪 Are they on their way to their first win at Anfield in the league since September 2012?
31,Some people deserve to spend their entire mortal lives in a deep dark pit never to see freedom 😤
32,Nice to know I'm not the only one. 😔😔😔
33,"Every Wayne’s song is losing in this poll, disgusting 😤😤😤😤"
34,Wow... we finally get to hear the words... I WAS WRONG out of Fakeci's mouth😤
35,
36,"Someone called my dog ugly, today is not her day 😤 I think she's beautiful!"
37,Fire game😤🔥🔥🔥🔥
38,A penalty miss means VVD is better 😭😭
39,so ready for my heart to be ripped to pieces💔😤😤
40,We are definitely getting the cup this year😤
41,Salah again out of nothing 😤
42,😱They don’t know close to half 🤦🏾‍♂️😤😭😭😭
43,The Dalai Lama's attitude towards the Indian boy was DEFINITELY repulsive. What the fuck went through his head to come up with something so disgusting?!? 💧🤔💫👊🏽😤💨 #DalaiLama #Dalaí #M3M #India #Tibet
44,You just need to understand Fireboy's sound. He is just different. You know it 😤
45,Mood every day 😤
46,About to go around asking people who their favourite designer is 😤
47,"Need to start taking our chances, should have scored at least 4 😤😴😩"
48,“You’ll never find someone like me” shorty what?? You don’t know happiness unless it’s with me😤
49,I will say it again….  Any venue in the county Last Night Was Wild😤🔥
50,Nice. Punch him more. That heck face must be disposed 😤😤😤
51,The greatest intro of ALL TIME 😤😤😤😤😤😤😤😤😤😤😤😤😤😤
52,TIGER YOU DISAPPOINTMENT. I BET $1.85 ON TF😤😤😤😤😤
53,"I LOVE THE STUFF I GOT FROM U ❤️ so glad i was able to stop by, wont make it for the garf panel since i left con but it was nice seeing u!!! 😤👍"
54,Game face activated 😤 has a 2-shot lead heading into the final round at Augusta. #TeamSrixon
55,I wouldn't mind committing incest with you in that case 😤🤧
56,"Every single day! Just had a vent about the lack of appreciation! Wtf is wrong with some people? ADHD is not an excuse not to learn, or to be rude to people who do help you, I am 🤬😤 about it! Sending virtual ones! 🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗"
57,"If we actually had composure and confidence we could actually be 4-1 up. Robertson chance . Salah’s chance, salah’s goal and Hendo’ hoof inside the box 😤"
58,"In 1986, Dan Marino threw 44 TD and Eric Dickerson totaled 2,026 yards from scrimmage. Lawrence Taylor won MVP 😤"
59,Why does Jones always take 30 touches 😤😤
60,why are you lying and misleading people on the internet? the audacity 😤😤
61,"Fr fr 😤 sometimes it does feel like that. Though other times, I am sure they don’t mean to offend, but… it’s also not the compliment they might think it is."
62,I'm broke tho need to studied hard to waste it on biblebuild 😤🧍🏻‍♀️
63,Give short kings some respect 😤
64,come comment below what ur fav moments are for the tourney😤
65,Hell no I’m going up to that guy and snatch away his phone and tell him to stfu 😤
66,"“Checkmate you CRT-obsessed, Marxist BLM woke Britain-hating historians. While you have your peer-reviewed propaganda, we have pullouts from the Radio Times” 😤"
67,I DONT CARE 😤😤😤
68,And also stop thirst over my dongsaeng 😤
69,You continue to be the sweetest.🥺♥️♥️ I am not worthy 😭😭😤😤
70,"you’re pretty pretty!! wait not in option? I’LL ADD IN THAT OPTION 😤🤍 hehe okay serious, to me you’re bunny pretty !! 🤩 hehe"
