ID,Comments
1,Text
2,Something we can finally agree on 😂
3,"TBF, he was tryna calm him down before the yellow too😂"
4,I had to ask what ‘cap’ meant the other day 😂
5,This meme's been making me laugh so much 😂
6,I told my wife that when I die: my final request of her will be that she clips my toenails and lotions my feet before EMTs arrive to pick up my dead body. I want to check out with some dignity. 😂😳⚰️✌️🏾
7,You made your decision but you’re bothered by my post because you think it’s about you 😂😂😅 miss mamas byeee
8,who asked you to take me seriously? i said what i said you don’t gotta take it you dumbass 😂
9,Hahahaha if you say so sheep😂 science has been wrong many a time you should know that just look during the pandemic we were a laughing stock😂😂😂
10,"Lmfaoo what standard? Not looking like a hog? Yeah, get over it😂"
11,"i have too much fun drunk, i need to stop 😂😂"
12,Y’all are using the opportunity to post your pictures 😂
13,Bunch of bitches you fans are😂 ain’t won in Anfield in over 10 years and think it’s cos you’re in title race? Sureee
14,😂😂 you never give up
15,"Honestly i only trust for calls lol, he’s literally always right 😂"
16,real😂😂
17,My problem is I’m mad territorial. I dead won’t like somebody nomore but I don’t want nobody else to have them 😂
18,We’re usually 3-0 down at HT I’ll take this😂
19,At least the flames have a shot at Beda- ohh wait they don’t even have that 😂
20,No you are Not... This is a ITALIAN festival shown on the news last night🤣😂😅
21,Good grief 😂😂
22,"🤣😂🤣😂🤣 Voted for neither Biden nor Trump. One's a ""business guy"" who used the US Govt to make private/personal business deals, while the other's a ""lifelong politician"" doing the same. DJT was outside-in. JRB is inside-out. Same guy. Same values. Different branding."
23,😂😂 bet he's curled up by a heater now
24,I’m tired of seeing some picture here 😂
25,Lord I would have broke my back or slid right off that stage 😂 Shownu you fittie #SHOWNU
26,It’s a Paul Tierney disaster class 😂
27,Didn’t promise y’all a collaboration of Coffee with Khosi and Tea with Thabang? Hang in there bethunana 😂 he’ll post that content on his YT channel.
28,Maybe they are all broke na 😂
29,":All good. Don't worry about it"". 😄 🤣 😂"
30,😂😭 ong he turning into a lecture Nigga.
31,I would necessarily say it 😂😂😂 Craving copious amounts of attention from your partner is DEFINITELY an insecurity thing.
32,Yes!! Me too!! 😍 Bowser song was so funny 😂😂
33,It’s been a while since I hit up Dennys on my way to getting home at 4:30 AM racing to beat the sun 😂 Good times.
34,The party still continues fam 😂😂
35,"Most men don't know how to have a general conversation, it always ends and n flirting.😂 Please forgive them☺️🤦😂"
36,Listen! My mother told me she's going vegan and I might join her 😂😫
37,All day my boy! When he on a team thats who i rep😎😂
38,And that’s jus sad. Plz don’t admire him. No. 😂
39,😂😂no way he's among the greats without ever winning the pl
40,"I swear if Darwin was on the pitch in the last 10mins, there would have been bets on how long until he’s sent off… 😂"
41,😂 what's that supposed to mean now.
42,My favorite part about this clip: Trump getting ready to shake Hollands hand but Holland acknowledges and speaks ONLY to Dana. 🔥🔥🔥🔥😂😂😂
43,"You're a very empty person. I suggest meditation, a glass of wine, or yoga perhaps? You're not ""right,"" at all, but keep telling yourself that.😂"
44,I wouldn't be happy after that first half performance 😂
45,Why are they angry at the refs if anything it should be us 😂😂😂
46,Woke up to my man cleaning up to Faith Evans blasting on our big speaker lol 😂 This man cracks me up I love him so much
47,Had those on my old place roof. Lost the stands for the original and E. so those are gonna hang up again 😂
48,"😂 you’re funny… Tragic, but funny 😂"
49,Lmao need to change mine this year Cuz narrow escape 😂😂
50,Can’t stop it. Better learn to use it. Defi for the win! Decentralization is our only hope for survival against the lizard people😂🤘🏼
51,Pilot is pretty cute. Maybe the 5yr old forgave him.🤷‍♀️😂
52,"So between Fabihno, Henderson and Jones, who's playing the DM role, and No 10? All of them are running as if they're headless.😂"
53,😂 I trust klopp to disappoint you
54,y’all going to hell 😂
55,How can arsenal fans talk about Kane going down and then watch this game with a straight face😂😂
56,Meanwhile 80 percent of Konnan’s speech was literally how good he was at scouting and pushing Rey 😂 but credit to him he made it sound good
57,It's always the pretty ones with the bird brains😂
58,"Played more Nox by Finally at 4p. This is a fast, vicious little card game that plays up to 6. Something tells me it would be wonderful bloody madness at 6. 😂 I lost…not even breaking 100 (150 triggers end game). 😂"
59,"Lol.. let's pick it up another day, right now I'm tryna use my head for something else. 😂🤣"
60,Baba I’m telling you 😂. Happy Easter my brother
61,Trent will see something that 2nd Half. Weyrey go collect yellow 1st half. By the time Martinelli is done with him 😂
62,"Oh, I just need to open my mouth and talk about philosophy for that to happen😂"
63,the fact that they let us wear dunks and other shit with our scrubs but we can’t wear crocs is crazy 😂😂😂😂
64,"Our annual Easter bike ride. Unfortunately, the battery on my electric bike ran out on my husband's leg of the trip 😂🐰🐣"
65,You people collected 7 😂😂😂
66,also .. Lil can take her false teeth out .. so there's no chance of being / getting bitten (downstairs) and it's guaranteed to be sloppy #bonus 👍😂
67,"How about Joe Biden? Let’s talk about Biden instead of Trump for a change. Tough, huh? All you want to do is think about is Trump all day long. It’s time to stop obsessing over Trump, and think about all that Biden has done for you! 😂😂😂"
68,No Qb will be there at 11. Titans also have zero leverage to move up in the draft. 😂💀
69,I don’t understand why y’all resist arrest 😂 y’all lucky they don’t just put you down then and there 😂
70,I cuz I’m project pay when she ran outa songs 😂
71,ion think ill ever get another boyfriend no time soon i gotta wait until i know for sure ima be faithful 😂
72,they favs are actually so persistent they’re annoying asf DAMN 😂
73,even as a Liverpool fan this made me chuckle! 😂😂 what a half!
74,Xhaka didn’t need to do anything and he still get booked anyway 😂 commentary loved that as well didnt they mugs
75,You was a different type of horny if you watched pinky😂
76,I speak on behalf of Manchester United that you not winning tonight 😂😂
77,Pissed me off with that weirdo shit 😂
78,🔥🔥🔥 #NFHOPE Nate is doing big boy numbers 😂🔥🔥🔥 undisputed!!!
79,"Forget pineapple, try pigs bollocks. 😂😂😂🤣"
80,It died on Friday maybe it’ll work on Monday 😂
81,I love how the white woman can throw her colleagues under the bus entirely and the left still celebrates her as part of the group😂
82,😂😂😂😂he’s never living that down is he
83,Kyle Shanahan boutta have 3 actual QB’s and 3 emergency QB’s. Dude is done playing games😂
84,"No fukin way She can’t be a Pig Lmao holy shii enemy signs got feelings for each other 😂 I tried getting over her , it’s a whole thing , she fukin 40 and I’m 21 , but if you knew you’d understand Yet me and a rooster got feelings Weird dilemma Mann😂😂"
85,😂😂😂 you'd think they've fasted the whole day
86,"WTF .. i thought to myself ""im not familiar with this jeffrey marsh person, they seem to be gaining a lot of attention/popularity i'll go learn about them"" .. THIS is what i find 😂"
87,And I was wondering wen will it b d HT n U guys will start replying🤦🏻‍♀️🤦🏻‍♀️😂😂🤪🤪😘😘✌🏻✌🏻
88,Small typo😂🌚
89,The way Liverpool finished first half ojakiwulira in second half😂
90,When did the Easter bunny start wearing glasses? 😂😂 they got Aetna?
91,as a fellow Arsenal fan I hope we’re not going to be watching the second half through the palms of our hands covering our eyes 😂😂 Can see a Liverpool onslaught coming on in front of the KOP 🫣🫣😂😂🔴⚪️
92,how dare you not be there 😂😂
93,I’ve always thought it was him. He was a spiritual dude.🤷🏻‍♀️ The only guy that Tony ever let sleep on his shoulder😂😂 (How many people could get away with that)?!
94,My homie gotta foot fetish 😂 getcho kinky ass from round me
95,All of them...😂 Comparison test--🤣
96,This girl that didn’t like me in hs is in my dm saying I’m pretty 😂 she must’ve forgot
97,Not black don't crack 😂 coming from someone who's not black..
98,since ya’ll like to low key influence people to manipulate shit. 🤨🙄🥱😴😅😂🤣 keep it pushing losers.
99,Probably my favourite one 😂😂
100,😂😀😂we’re off to see the Wizard😂😂😂
101,What is this fighting 😂😂😂#LIVARS
102,"Dang Sis, your parents must be feeding an Army. 😂 It all looks delicious though. Tell your parents Happy Easter for me."
103,It is lol 😂. I’m just projecting a bit on my own experiences haha. But yeah she used to make fun of the fact that Americans wiped their butts with toilet paper 🤣.
104,Which came on the back of a loss to Newcastle 😂
105,😂😂😂 I come with a message of peace.
106,😂😂😂 that look like banquet food at a conference
107,Yeah imma stay out the strip club for a while 😂🤦🏽‍♂️
108,We all know Lolenti and his takes😂
109, all my niggas was all together last night 😭😭 and all started to put 2  2 together but was STILL on my line that night🤷🏽‍♀️😂😂
110,I wish you still had that phone number for our mutual friend. 😂😂
111,😂😂😂😂😂😂😂 You’re taking this seriously 😂😂😂😂😂😂😂
112,😂😂😂I go come ur dm after FT
113,"😆 🤣 😂 They will when they can pin a crime against you, to laugh at you. They are all evil and you are Good. They are scared of you!"
114,They arent yet on twitter 😂😂
115,A big second half awaits 😂
116,Arsenal winning Liverpool is paining me but I no fit talk too much because this man is an Arsenal fan make e no go hug transformer🥵😂
117,"na hol on man , these movin too fast 😂"
118,come on bro at least acknowledge his contribution to the consolation goal 😂
119,If trophies were handed out for talking the talk? They would be genuinely the most successful club in all the wuurld😄😂😂
120,The Liverpool fans closer to the commentary booth Dey cuss pass😂😂.
121,would slide on dis one bitch on here but she might think I’m tryna be Twitter cousins 😂
122,"This bug on WhatsApp is annoying 😂😂, why is someone’s audio still playing on another story 😭."
123,I get the easter bunny.. Now I'm curious about eggs. 😂
124,i wish you’d b beside me when i wake up 😂
125,The lino elbowed Robertson 😂😂😂😂
126,Record don’t mean shit y’all riding on that 😂 that’s how I know anyone saying 3-1 or 1-3 is a casual and just recently started watching
127,Bruh you gotta chill you 1-3 against this man😭😭😭 you still his son you were 0-3 before last night 😂😭
128,"Honestly i only trust for calls lol, he’s literally always right 😂"
129,"Don’t get me wrong I was saying the same in the first half, but seeing this was funny 😂"
130,He forgot that he walks on waters 😂😂😂😎😂😂😂😂😂😂😂😂😂😂😂
131,We can only judge by what we see. Where’s the rest? 😂
132,"Throwing away something you’ve already paid for, isn’t hurting Anheuser-Busch😂😂😂 Idiots"
133,😂🤣 I knew
134,This guy is good bro..you just don’t like him.😂
135,At my part time job bored is hell😂
136,Who witched our Deputy President Rigathi Gachagua 😂😂
137,"Thanks for reminding me about the recent increases in prices! Now I can add ""mathematician"" to my resume since I have been calculating how much money is left after paying for gas 😂 #zam #akaryakıtzammında #notfunnybuttrying"
138,Phyllis hair is showing from the back of her neck 😂😂 #YR
139,when mf’s message you and ask why you unfollowed them.. that’s it right there 😂
140,Haha yeah knew what you meant mate 😂
141,Get yourself out out 😂
142,Lower your expectations and you’ll be just fine Hendo 😂
143,It’s okay because atleast you have the amazing carabao cup 😂😂
144,"😂😂😂😂 eminent scientist or failed actor who's family despise him and who's kids ignore him. Sure, honey."
145,"i commented on something that was brought to my timeline by twitter insecurity or what you call it ashiere 😂 some don't even know it's a disease, according to my comment i didn't insult her, your brain is leaking ewure"
146,"I'm terrible. I don't know where anything is, I have Avenger glasses. 🤣😂 I got them a couple of years age believe it or not, They are from the children's section and fit great 🤣🤣🤣"
147,Yhs plsss after the mud😂😂
148,😂😂 I’m as surprised as anyone! I thought he’d be like “screw this” the moment I touched his teeth.
149,Mean mugging the mascot😂😂
150,It’s the oppression for me😂😂… iya baby🌚
151,"Can I ask, how many of these were in the second half? 😂"
152,I thought Trey is becoming cesspool fan 😂
153,Isn’t that (almost) every man in a position of power 😂
154,🤣 😂 you still playing this game
155,And Roberson booked for it 😂
156,Mane ugly as hell 😂😂
157,So where is ur own? 😂
158,"Looks like me,trying to climb up the stairs! LOL 😂"
159,Used ?👀👀👀 who is using who 😂 Omo stanship na better stup|dity oh ah
160,Nawww don’t say a prayer now Auntie ! If you was throwing that ass own that shit 😂
161,Taught my son how to play “Bullshit” last night… let’s just say the kid has a knack for it 😂😂😂🤯🤦🏾‍♂️
162,The mental gymnastics people going through on this thread is actually wild 😂 our generation doomed
163,I'm not agitated 😂 I always wanted to make this point because I always see this silly argument. تلقطت بهالحساب وقلت اهو شحمة عفطيرة 😂
164,“if you have an anxious attachment style….. blah blah blah…. I have no degree” just shut the hell up 😂😒
165,Martinelli learning from Neymar. Acting to get card against Konate. Even medics are out for him 😂 what a fraud
166,Yes you do have mutuals 😂
167,Yeah you’re playing well but there’s someone out there musturbating on your pics.. save a girl child 😂😂
168,This is your ship abi???I support 😂😂😂😂😂
169,Lmao I’m not hating guyyy It’s more something diff 😂
170,Please tell me where it’s been explained you clown. Getting exposed even more now aren’t you 😂😂😂
171,Bingo ! You using that imagination now 😂 little the simple shit like that for us we fw heavy
172,Was it hard for him to just say I’m a family man? 😂😂🤣
173,Why is Peter Gunz fighting the cheaters on Cheaters 😂😂😂😂😂😂😂😂boy that ain’t your fight
174,😂who would do such a thing 😏
175,"You could see him say at half time, ""Jordan. It was an accident. I'm sorry."" 😂"
176,You mount elon musk till thy kingdom come 😂
177,You sure there’s not wheels on them soles? 😂 saw a couple of you’re route maps wae 30 odd km! Seriously that’s fckn mental! Ad struggle with that on my bike!👏👏👏
178,Internet people are ridiculous 😂😂
179,I will come back later 🤗😂
180,Konate 😂😂what a shit of a defender
181,The pressure is getting worser😂😂😂😂
182,Them Niggas who ain’t need me before need me now 😂
183,My mom is going to both services today idk why 😂
184,Acts of service is covered considering Ferit's attempts to get Ayse out of prison then worrying about her comfort. He got a blow to his back trying to serve her food😂 typical fandom crap is not included because we are talking about love not lust😝#YağmurTanrısevsin #Ayfer
185,You fit tie him height down sef😂😂 or you go turn to single man😂😂💔
186,What’s about tour trial with IHU ? See you soon 😂😂😂😂
187,I hate when niggas be like “what do I get outta keeping you around”  never got shit outta keepin you around but yet still have you around 😂😂😂😂😂👎🏾🤡
188,What a game 😂
189,He just raised from the dead today and already the good deeds are being deployed. 😂😂😂
190,A draw loading n u still have peo to play😂😂😂😂
191,Join now and join the train 🚆🚆 Money must be made (no be only sporty fit make you rich😂)
192,Who says a Friday the 13th themed Easter shirt can't work? I just wish they had used a different font for the bottom text. 😂
193,We are cooking blo. Next is you 😂
194,Never imagine that he would do something like this sooo many times
195,Since the synopsis too 😂😂
196,"First of all, you are charming! Second, I love you，Guy！Lastly, do you need a new stylist?😂😂😂 #BIBLEXPerfectSerumSquad"
197,The ref knows he’s doing a great job when both teams are mad at him 😂 #LIVARS
198,Love the Hydrangeas the most I think!! The blue/lilac ones are my fav💜💙!! I'm hinting around for that since Mother's Day is coming up!!😂💙💜🖤🤗🖤😘
199,Haven’t paid for shit in 3 weeks 😂
200,"Wtf do they see when they look in the mirror,it’s definitely not what everyone else sees 😂😂."
201,"“Is your mom still at the bank?” “Yeah, she’s working with the computers now.” 😂"
202,It's Easter and you're still in vawulence mood😂😂😂 KHOSI THE TOPIC KING KHOSI #KhosiTwala #BBTitans
203,A better clap back boo😂😂
204,"Tell me this isn’t so?😂 happened recently , and I realized I responded differently to both instances . I’m trash , or are they trash? 😂"
205,"Since those folks beat us, it has been back to back, beating right,left and centre😂😂😂 What a time to be alive"
206,Yes lol 😂 When I saw these pants I just had to!
207,Dude.. you're on a about his damn son growing up to beat him in like 10 fkn years because he Alex got planked and Izzy rubbed that little shits nose in it. 😂
208,Surely the Linesman hasn't thrown an elbow? 😂
209,when black people say when you get a chance they really mean right now 😂😂
210,Those ladies will eat her up especially if she cross the wrong way she’s the BEST read of them all 😂😂😂😂 let her come 😂😂 it will be exciting
211,"That getting together  the small fight was exactly what we needed in that half! 😂 The players have woken up now it seems... Half time came at the wrong time for us but hopefully we can carry the ""end of the first half"" momentum into the second! #LFC #LIVARS #PL"
212,Guy na xhaka start this rubbish😂see as the fans wan kill person
213,"I also read it despite not understanding foreign language 😂😂😂😂 so addictive, 😂😂😂😂"
214,I just hate Liverpool 😂😂😂
215,"Hahaha…funny how man thinks he’s got to make a decision between two girls. You, don’t focus on your life and be doing I’m confused I’m confused😂😂. Those girls have other 3guys in their lives😁😁"
216,Damn the mavs super team of kyrie and Luka missed the playoffs this year 😂
217,He is so slow. Too many digs to the head 😂
218,Henderson is so funny 😂. Can never get to a tackle on time but somehow gets to the referee on time. Shit player.
219,"You did well, now take rest. JD antis will have no choice but to listen and see Jongdae since he's EXO anyway, so either they leave or watch Jongdae laugh and enjoy with rest 😂😌"
220,"😭😂 exactly like nav can’t live without abhir ,who on earth cares apart from her😭"
221,Creed beat a 1-0 guy to win the belt 🤣😂 #Creed3 #CreedIII #Boxing
222,So funny 😂 - so true ‼️- so sad 😢- so frustrating 🤨 All of these emotions at the same time.
223,Everything 😂
224,If portable see this picture Wahala go dey 😂💔
225,I know arteta shaking in his boots rn. 😂
226,Thought you would have a few lads from there seeing you big on differential😂
227,It’s not even close 😂😂
228,"I'm 32yrs old, mom of 11 cats and 4 dogs, finished a double degree in Literature, a taxpayer for almost half my life and a socially awkward oddball. 😂😉"
229,"I ain’t gone lie and say I wouldn’t rather her talk in her normal voice, but 1. That ain’t my business.  2. That for damn sure ain’t the wig lady’s business. 😂😂😂"
230,It’s just yt views😂
231,Commentators trying to make out it was Xhaka's fault we conceded is hilarious 😂 tf has he got to do with it
232,🤣😂🤣😂 why are you cussing dude... You can pass a point without the rudeness... Control your Chakras lala
233,Pls how do you see this😂
234,"Hey, Happy Easter my Labrador friends🐰💖🐤! What a great giveaway. If I win I would like the strawberry treats. Blueberry would be just as good, I'm not a picky Pug😂"
235,I don't even get why they're complaining. We should be the ones complaining about calls😂
236,Stupid dum ass 😂 that’s why I post the shit I do cause how you know what I’m saying ?
