ID,Comments
1,Text
2,"If you know me you'll know I have wobbles, I hide, I don't speak and I fear the moment. I act odd but I bounce back . Sometimes I need to write it down to remind myself this is a blip not the final chapter there's more to this book of life for me. 🙏❤️"
3,I personally don’t like you at all. Honestly. But if your a real Christian (even though I have my doubts considering who you like ). I will as a Christian wish you also a blessed and Happy Easter to you and your family. I’m not spreading hate on Easter Sunday. God Bless🙏
4,It’s going to be awesome! Hoping I can go to a game or 2 in Sacramento/SF. 🙏
5,Amen 🙏 Amen 🙏 and he is coming so people prepared yourself
6,It is always greatly appreciated when the hard work and the details are noticed. Thank you PGH 🙏
7,I TOLD Y’ALL 🗣️ Kenneth Lofton Jr. is the Thick King Messiah we’ve been waiting for. 🙏
8,everything for my son🙏🙏
9,"That’s quite the project, sweet Connie 🤣😂 thank you so much.🙏🥰✈️"
10,Thank you sir 🙏
11,Am I permitted to drop mine sir ?🙏🖤
12,Blessing the timeline with Kyle 🙏
13,"My friends who are women in gaming and esports! If you have the time or reach, please consider helping my friend out 🙏"
14,"On April 7th, Amsterdam, at the concert, I met a girl that gave a pick when the show ended bc I was crying. I think she’s from USA and she’s going to more concerts of this tour. She was really nice, and I would love to say thanks again, so please help me find her🙏"
15,Yes trump did😳🌎💙🙏
16,Felices Pascuas 🙏🙌✨️😍
17,$ETH TOP analysis price target for next week..🙏 $LUNC $OGN $BTC $TSLA $COMP $SAND $GMT $RUNE $SOL $U $MATIC $ATOM $EGLD $SPY $XRP $GL $Y $TA $L $HATI $CAW $AMC $AAVE
18,Got to open a gig tonight for the first time. Felt like a wee bit of a milestone being booked to open by such a well established promoter. Thanks Mike 🙏 for the opportunities  all the support so far 👏👏 #comedy #onegigatatime #keepworking #opening #comedian
19,🙏🙏🙏🙏😭😭😭😭 prayed for times like this .
20,"Are you ready fam🫡 Do not ask where we were, just open the free Mint now ASCII art Will not die Something big is coming 🙏 #NFT #NAKAMIGOS #ASCII #FREEMINT"
21,🙏🐰🥕 May the blessing of the holy carrot last forever!
22,"Happy 15th anniversary, Henry! 🥳🥳🥳 Thank you for everything that you have done for us! 🙏 Continue to do what you love and just be you! ❤️ We will always support you no matter what! Love you forever and ever 💖💖😘😘"
23,Give us #ShadowAndBone3  the #SixofCrowsSpinoff please🙏. I’m begging here😭😅
24,Alright no problem screen shot settings for what? I will appreciate your help my bru 🙏🙏🙏
25,"SEE EVERYTHING I EXPERIENCE IS HAPPENING IN MY BRAIN, MY PINEAL GLAND IS GLOWING AS MY HEART DANCES IN THE SPACE OF THE LIFE I AM GIVEN,TO BE. YEP, ALL THE ATOMS CELEBRATE THE LIVING CONSCIOUSNESS THEY ARE MADE. NOW HAPPENS AND THEN, WHAT? LOL MY DEAR BROTHER 🙏😀💫💖🙏"
26,Peace my man 🙏🙏 we miss you on the Beatcast
27,"My wife! She is the most precious of all I have, without her nothing else matters. Happy Resurrection Day Mandy! God bless you and your family! 🙏💜🙌"
28,I sure am into bitches but not women so 😣😣‼️🙏🙏
29,Had a good day today... And I'm hopeful it will be a good day tomorrow 🙏
30,"Sometimes, all it takes is one prayer to change everything! 🙏"
31,"Night gain 🌃 Retweet  drop ""❤️"" follow everyone that likes your comment..."
32,i will be watching 🙏🙏🙏
33,"I’m selling 2x FLOOR Taylor Swift Tickets for Fri, Jun 2 Soldier Field, Chicago, IL, LMK if you’re interested (Selling for below Face Value )🙏"
34,"Mobius Airdrop is over soon, fast!🙏"
35,Your correct. God's word is clear on this 🙏✝️.
36,"""Beautifully Stated, ThankYou, So Very True 🙏🙏""."
37,"I’m selling 2x FLOOR Taylor Swift Tickets for Fri, Apr 21 at NRG Stadium, Houston, TX LMK if you’re interested, Selling For Face Value! 🙏"
38,"I’m sorry, thank you 🙏"
39,More from the Easter break - busy busy busy… 🙏 💜 Email today for your quotation or to arrange a no obligation site visit: #hdwrapsuk #hdwraps #schoolwallart #schoolwallwraps
40,Thank you for looking for me! We will do our best to further convey the charm! Best regards 🙏☺️
41,❤️🙏
42,"I’m rooting for either Oscar or Nora to be the leader for this team, they deserve it tbh 🙏"
43,STREAM TO 2B FOR JUNGKOOK #JUNGKOOKxCALVINKLEIN 👖‥🙏‥💕
44,"Thank you Karla, and we are truly living large, with some 50 degree sunshine 😎👍🇨🇦, the first since October I think... Hope everyone is enjoying Easter, and God's Blessings to everyone, He Is Risen...✝️🙏👍😎🇺🇸🇨🇦"
45,cb announcement today ?? 😁🙏
46,Good afternoon htowngirl Catherine🌞 happy Easter ✝️🐰 🐣 how are you doing😃 hope you have an amazing awesome blessed day today and God bless you and your family you're an amazing beautiful person both inside and out im so greatful for you 😃🙏✝️💙
47,"💭 Me at the moment: « You are already a Whale, why do you want to buy more » 🤯 Please help me to answer 🙏 #ForTheCulture #BROZO #PolygonNFTs"
48,Yes But I'm but I'm posting my man at 7am 😂🙏
49,The whole pack should go into the mouth to stop the oral Diarrhea. 🙏🍀
50,it was never that serious 🙏🙏🙏🙏
51,"I do that, Beth so I can say, ""Thank Me"" sometimes. 😊🙏 💙"
52,"It was great seeing Coach Steve Fisher talk last night at the Celebration last night! Great vibes across the board, grateful I could make it 🙏"
53,aving a lovely raspberry pmwi 🙏😇 bless up
54,"congrats boss, how many like for the 5k at back 🙏"
55,Literally I'm praying we get this Collab. Bebe seems to like the song and her voice and style would go so perfect with it and jimins voice actually. Now we wait.🙏
56,I got a IPhone and I can’t waaaiiit !! 🥹🙏🙏🙏 #TheRevolutionWillNotBeFungible
57,"Thank you, all because of you guys 🙌🙏🌸🌸"
58,"I’m selling 2x FLOOR Taylor Swift Tickets for Fri, Jun 2 at Soldier Field, Chicago, IL HMU if you’re interested, Selling very Cheap 🙏🙏"
59,"You‘ll find a bigger sneak peak👀 in my announce channel but most importantly, thanks to everyone ❤️❤️ two years of being a #Vtuber , being a #Vartist , being me.. and you all joined me! Tysm 🥹🙏❤️"
60,おはよう♡ 今週もよろしくねぇ〜🙏✨️ いっぱい笑える1週間にしよ〜🤣 My favorite song is #BTS_YetToCome of #BTS the best group in the world #BTS_Proof
61,Ordinarily you’d think that leading by 4 with 4 to play its in the bag but I’m still nervous Come on 🙏 #themasters
62,Ofcourse deaaAr but how is it possibl....e you don't have my digits...🙏💕💕🕉️🌷🌷🌷💕💕💕
63,The Lord has risen! Happy Easter to you and your family! 🙏🙏🙏✝️🇺🇸
64,"Not exactly a meme, but it should be!….Clown World In Reality 🙏🇬🇧"
65,good luck to the stylist 🙏
66,The “struggles” in such an existence are so blissful compared to the reality our souls are up against. God willing...we’ll get there. 🙏👊
67,With god nothing comes to an end 🙏
68,"I’m sending my too ooo as well, I will be very grateful for possible assistance. Thanks 🙏"
69,"They are cowards, they know they are. They will always be like that. I pity them and admire you. Stay strong 🙏👏"
70,Fuck if I had a opium ass girlfriend life would be 💯😭🙏💔
71,"All the best dear, I know you gon make it through🙏❤️"
72,This new week. Only favourable winds blow my way. I sit and discuss business with Kings and not mean men. I seal million dollar deals because Christ has paid the price. I enjoy abundance of prosperity. I have Good success. Amen 🙏
