ID,Comments
1,Text
2,Happy Easter 🐣 🐰 Everyone Bath  Body Works 💙 Sales 40% OFF EVERYTHING ALL MISTS  BODY CREAM $5.50 Not included in 40% off promotion. JUST ADDED! ENDS AT 6PM ONLINE! FREE SHIPPING ON $50 USED CODE - EASTERGIFT
3,Happy Easter friends! 🐣🐰💛
4,Hope everyone has had a nice Easter. 🐣
5,Good morning ☀️ happy Easter! 🐣 🐰 hope your days goes well 😘
6,Thank You Many Blessings To You 🙏✝️🙏 🐣🐇🐥
7,TY Tam-you as well ❤️🙏🏻🐣🐇🍕⚾️⚾️😊❤️🇺🇸🇺🇸
8,Happy Easter 🐣🐰
9,Happy Easter to you and yours 🐣
10,"Happy Easter everyone. Today is our biggest day for our Baby bunny, who’s ready his day. Good luck finding all the eggs. 🐣 #BumperMonsters #OC #AnimeOC #cuteart #illustration #Easter #Easter2023 #バンパーブロック #イラスト"
11,Some fluffy willow 'goslings' for Easter #WildFlowerHour - the catkins of goat willow were traditionally called goslings once the yellow stamen had emerged and I think it suits them 🐣
12,"Happy Easter everyone! 🐰🌷🥚🐣 I hope you all have a wonderful day filled with love, joy, and lots of chocolate! 🍫🐰 And while you're celebrating, don't forget to check out The Lost Song by Sonic Emancipation on YouTube and give it a thumbs up! 🎶👍"
13,The Easter Doge has been our house 🐣😂💯
14,Happy Easter!!🐣
15,Happy Easter 🐣
16,Happy Easter 🐣.
17,I just finished up a paper! Gahhhh seemed like forever getting through the reading material! Figured I’d stop in and tell y’all how much I love y’all and how much y’all mean to me this Easter Sunday! 🐣 Phew I need to 🪒
18,Babygirl did her nails in Peeps 🐣
19,🐣Egg 🥚 The ocs got together and dyed eggs here’s everyone’s eggs. I even included and her ocs in on the fun 🥚🐣🐇 #happyeaster
20,"Happy Easter everyone , we still found time for the astro and the Arsenal/Liverpool game in the pub between all the chocolate eating 🐣"
21,Happy Easter 🐣
22,Happy Easter 🐣
23,"Happy Easter from all at Lordship Rec parkrun! Something to enjoy with your chocolate this evening, our eggcelent run report from yesterday's event. 🐣🌷🐇"
24,"Happy Easter from all the team at Grommets Ltd, we hope you all had a eggstra special Easter weekend🐰🐣🍫 Just a reminder we are closed over the Easter break and reopen on Tuesday 11th at 8am. #HappyEaster #Easter2023 #EasterBunny #BankHolidayWeekend #EasterSunday #UKMfg"
25,"Happy Easter Weekend, THRIVERS! Celebrate the occasion with an egg-stra🐣 special Sale today  tomorrow only! 💕💐 15% OFF! on orders $200  ☝🏻 15% OFF, FREE Shipping + FREE Sculpt on orders $400  ☝🏻 USE PROMO CODE: EGGSTRA Don’t wait, hop to it!! 🐰"
26,Happy Easter from Logics Technology! 🐰🌷🐣🥕 #happyeaster
27,"I love him so much 😂 This is super cute, Bee! Happy Easter 🐣"
28,Happy Easter 🐣
29,Happy Easter everyone. Enjoy some time with the easter bonnie. 🐰🐣 #fivenightsatfreddys #FNAF #fnaffanart
30,"Happy Easter to our faculty, friends, and community. 🐣 Visit us at Patterson after the break to hatch a plan for sprucing up your class."
31,Hoppy Easter!! 🐇🐣 Batting eggs instead of balls today?! Watch out for those hollow eggs! 🙃⚾️
32,More Easter fun! 🐣🐰🤘
33,But it's not in my wallet 🤨
