ID,Comments
1,Text
2,"true, some human interaction will truly do so many ppl good man. it’s honestly easier for me to connect w ppl thru talking then texting anymore 😭"
3,Liverpool 2-2 A.Ramsdale 🔥 #LIVARS
4,I just won R1000 because Arsenal avoided defeat at Anfield ❤️😁
5,"Tap with a ,❤️, let’s follow you fast ❤️"
6,What Ramsdale did for us today will never be forgotten 😭❤️
7,I love ❤️ 😍 💖 that he is carrying the daffodils for the young lady. There is always time for a little sweet romance and hopes and dreams.
8,thank you ❤️
9,I’m still waiting on my nudes babe🍆💦🍑👅❤️‍🔥😘
10,we waited so long for her 🥹❤️ JISOO DEBUT STAGE #JISOOatINKIGAYO
11,my cousins boyfriend looks like a bobs burgers character ❤️
12,Thank you god of banter.....we are thankful💃
13,"Aai Shappat ek number is the only track I'm listening to since the morning.. vocals, edits choreography the best ❤️ Not an edit just some clips that I love the most if you haven't created a reel on this audio pls create! AAI SHAPPATH SHIV X MAYUR #ShivThakare #ShivKiSena"
14,❤️🐰
15,v happy for bobby scoring against his faves again ❤️
16,"Everybody who grew up in Nigeria has probably heard the stories of Lagos and Isale Eko, this was an opportunity for people to experience what life is like there and also see those actors bring it to life was just exceptional. Nollywood isn’t what it used to be ❤️"
17,I can Watch you all the days of my life 😭😭😭😭😭😭❤️❤️❤️❤️❤️ TKJ THE BRAND PROJECT 24 CHALLENGE KANAGA JNR #KanagaJnr
18,Happy Easter Sunday Colleen 😊🌸🪷🌺🐰🐣 Big hugs for you 🤗😘❤️
19,This is what I did when I first saw it 🥹🥹🥹😁😁😁😁xxxxx♥️♥️♥️
20,Aaron fucking Ramsdale ❤️❤️ Stress 😮‍💨😮‍💨 #LIVARS #AFC
21,"Draw. We're so lucky we didn't lose ngl. So many players played scared today. Saka, Odegaard, Xhaka, Partey. Holding and Gabriel was immense. And don't get me started on Ramadansdale. What a legend, my ADHD keeper❤️"
22,How not fall in love with Ukraine and ukrainians? Too late. My hearth is half ukranian now.😊🌻❤️
23,"The truth will set you free, but first it will piss you off.👩🏽‍❤️‍💋‍👩🏽"
