ID,Comments
1,Text
2,The Daughter  Son 👫🐇😍
3,"That's so cool!! 😍 If you ever track it down, please share. I'd get a kick out of that forsure."
4,"Hi, my Sean 😍🥰. l've missed you, my friend, and I hope all is beautiful in your world."
5,jungkooooook 😍💖🥰🥹💋🌼🌈✨🍓🥂 (i was gonna 🔪 about 🛴 but whatever)
6,The face is FACING 😩😍😍
7,Very beautiful 😍😍😍 picture and CEO
8,That's crazy 😍😍😍😍😍 So so so cool 😱😱😱
9,So beautiful! Vibes Cutie Daddy with the blanket 😍😅
10,"Had a beautiful day with these grands 😍 our Italian meal was a hit , Happy Easter to all my friends , I hope you all had a blessed day !!!"
11,You all need to hear this🔥🔥🤍 Pls Go help me Tag Under the Comment section as much as You can🙏😍😩😫🤍
12,this week i overworked myself sm and i’m abt to do it again 😍😍
13,That thang was made for sittin on faces 🙃🙃🙃🙃😍😍😍😍😍❤❤❤
14,i got two plates to get after work and one otw to me 😍😍😍🔥🔥
15,Good morning 😍 Wish me best of luck for papers😭 #psychology
16,all my ppls are legit top tier 😍😍!!
17,Award received 🤩🥳 thank you very much I wish you the greatest success ☺️🎉❤️
18,GOT YOU BLOCKED EXCITED TO NEVER TALK 😍 i’m SO sorry for your loss 😭 I FEEL SO MUCH LIGHTER LIKE A FEATHER WITH YOU OFF MY MIND 😌😌😌
19,Thank you! So excited 😍
20,We know what you meant Wookie 🫰🏻😍
21,Naaah you're the sexy bitch 😍 and also mine
22,"ctrl, sos, isolation, red moon in venus, bday, anti 😍"
23,#ThalapathyVijay Good morning ♥️♥️😍
24,Boredddd!!!! I’m trying to have fun before my program starts in junneeeee 😍😍😍😜😜
25,Aw how lovely 😍
26,This blue on you Omg?? 😍😍😍
27,"jewelry play, nail biting/picking, knuckle popping, floppy hands, kicking my legs, i have more i cant think of 😍"
28,I guess maybe the missing byhumanmade Igstory yesterday was abt this yt post! 🤭😁🤣 Let's check it out!🤩😍 #LeeSeungGi #이승기 #Humanmade #Roadtrip #음악시간 #MusicTime
29,💘🤨😍😌😄 Week join discuss popular it safe. #恋物癖 #性感 #肉棒
30,💥🥰😌😍🤨 Policy hit painting arm believe down. #伟哥 #大乳晕 #手冲实录
31,love getting out of work early 😍
32,❤️🐤🐱 so gentle 😍
33,Looking forward to another amazing week. Hope to see you there. 😍
34,"god my dolan twins phase was not okay, if i had to choose one grayson. but they’re both hot 🙈😍"
35,This giving Missy vibes 😍
36,Such a beautiful little lady 😍
37,"Such a fine pretty woman, always rt-ing my shiit for me 🙏😍"
38,My wife is cuter than yours 😍😍😍
39,"I never got to see a full ep. That was before my time. I think it was on Nick at Nite. I do know watching Electra Woman and Dyna Girl, Judy Strangis was in 222. 😍 OMG she was hot!"
40,Every time i see you bb my mouth drops and drool comes out 🥰😍🤤💋 You are so fricken sexy and beautiful ❤️💋
41,Nah cs my bsf called me after she did her hair 😍😍.. and LMfaoo now I want her to do my hair
42,Basically D-day is Yoonpearl's child. 😍
43,Look at the bright red ❤️❤️❤️😍👌👌 Badygechillies 😍🔥🔥🔥 For Rasam powder cummin seeds must be bit more to enhance flavor Also I add some toordal to thicken.. Awesome pwdr 👌👌
44,"This trending music game is super addictive 😍 fun, exciting and challenging! 💥 Check it Out! 👉Tiles Hop👈 #TilesHop #MusicGame #Playing #Mobile #Game #Fun #Trending #Amanotes"
45,Yep my fyp really said FYP today 😍😍
46,"She may not admit it because she's so humble but, she is by far, to me, the most entertaining tennis player on tour. Love Ons! 😍 Sabalenka/Sakari gets an honorable mention 🙂"
47,Shit I’d let you sit on my face and suffocate me 🤤❤️😍
48,Thank you for coming around.💃💃💃💃
49,I GOT HOZIER TICKETS idk i just wanted to tell u. i’m seeing him in october 😍😍😍😍😍
50,It's great. Between an innocent look and a provocative one! 😍😇
51,You could wear the Ajax bob Marley shirt to a funeral n everyone would luv it😍🔥
52,It’s Complicated 🤣😍🤗
53,siempre complaciendo a mis fans 😍😍
54,"from me she got no profit, then will leave... that's the world, but who can blame them, for they have to live... so I feel ok... I know not each away is from ur hand, but some are. I intentionally wrong u , just want to correct u😍 so now u know... my heart is clear...🪷"
55,OMG If God truly made man in his image… Holy F he is one gorgeous man from what I’m seeing 😍😍😍😍
56,Loved every minute of it 😍😍 the red suits made my Saturday night 😁😁 and loved hearing Walls ❤️❤️ very gospel and happy Easter
57,sb trick for me 😍
58,#mallimodalaindhi just saw this movie.. you are such hilarious andi movie lo🤗🤗👏🙌👍🙏😍❤️not sure how did we miss this:) awesome dialogues and ur performance amazing andi :) “pathetic mix of JohnWick and Arundathi” “golden leg of Gotham city” haha 😀👍🙌👏
