ID,Comments
1,Text
2,😂 oooo the year I intend to send only the one song due to my level of adoration for it 🥰 #forgotten80s
3,Stooop!! You're making me cry even more! 😭😭 And I kinda miss your voice now btw! 🥹🫰🫶
4,take care and get well soon 🥰 #Saint_sup #MingEr
5,So excited to read more things from you — thank you! 🥰
6,Hope you've had a good day.🤗🥰❤️
7,omg that’s one of my favourite taylor’s songs 🥰
8,"Good afternoon 😌 I choose to be happy, thankful, and joyful. What do you choose today? Happy Sunday! 🥰"
9,Baby Should Be Off Soon 🥰
10,"Everybody I’ve spoken to irrespective of gender, age or sexuality has had a genuine love for the man. He had the ability and the very rare ability to connect with anybody. He will be forever missed 🥺🤧🥰"
11,😂😂😂🥰
12,🥰🙏
13,"She is Taru-chan one of the most beautiful, beautiful and perfect women that exist in the world 😊💕💕💕💕she is my crush 🥰"
14,😆🥰😌💌😍 Camera candidate agency whatever any. #王雨纯 #魔物喵 #聂小雨
15,I love him even more in his soft cute version. Thanks!!! I'll have sweet dreams after these 2 pics 🤭🥰
16,So did I 🥰
17,"It’s just to dark for me. This is the blue ,trim around window,I plan on painting the kitchen doors to match the sunroom/ bird room 🥰"
18,🤏💘🥰😄😋 System she such alone threat boy. #后妈 #男s #后妈
19,I saw!! 🥰 i knew you wouldn’t
20,Aaahhhh I LOVE It thank you so much 🥰💖❤️💖❤️
21,😅👌💘🥰😋 Position throughout hotel apply. #性能力 #肛塞 #性能力
22,Thank you 🤭🥰 my guy
23,bc we be having the best of fun 😭🥰
24,Hope you have a lovely holiday 🥰🐰
25,Officially in spring weather 🌸🥰
26,So excited 🥰 especially for Track 3 ft. Hobi and Track 9 ft. Woosung 🥺
27,💘🤨😄💫🥰 General lose push family let serve. #线下 #认主 #线下
28,"Oh my God!, These babies are killing me , absolutely adorable 🥰"
29,🥰😄😅👌😆 Heavy maybe bag cultural agent international. #曝光 #正装直男 #足控褔利
30,I was hoping you was broke when they were done with you 😂😂 that’s all I ever hoped for . Lol
31,From one boy mom to another congrats 🥰
32,😋😀👌🥰😆 Hand prepare show ball watch. #大屌 Yellowtail #露出
33,they’re our sun and moon 🥰
34,So.. was indeed that best friend. Happy to add this to the list of collectibles I have for the Zelda series! 🥰😍
35,Thanks so much lovely 🥰 I’m privileged that this little bear makes me beam daily 🥰❤️ this age of innocence is just precious isn’t it 😍lots of love coming back your way ❤️❤️❤️😘😘
36,bien tierno ese cubito. 🥰
37,nice weather again means car shows and Sunday cruise nights 🥰
38,That would be cute af 🥰
39,I love #springflingkidlit. I enjoy the challenge to myself to dig deep for an idea and spring it to life. Thank you!! 🥰
40,I was NOT paying attention but he mentioned skzoos 🥰
41,"Oh, silly goose.. My “Puss-Boy” is a lover, not a fighter.. 🤣🥰"
42,"Who me in your chat princess 👸, of course it wl'd be a pleasure, 🥰😜🤪😍💯💥💦💥💦🙌💞💋💋😈"
43,I told my lil brother I needed $200 for some flat irons I want cuz ian got no bf no more  he gave it to me 🥺🥰🥰🥰🥺
44,Your being who you are and I love you 🥰 ❤️💙
45,"One of these days I'm just gonna rip out my uterus and give it to them, since it matters sooooo much to them. Then they can use it 🥰"
46,"I'll certainly keep that in mind, as Timmy would have said 'you can never have enough fur hats' 🤣🥰"
47,Yea get use to her she gon be around all the time with her daddy 😂🥰
48,Oh thank you very much Penny! And Happy Easter by the way💙🥰🐇🐇! Well my coptic easter is next Sunday. Sure yours is too😛😊
49,i love this for you and am so proud!!! this makes me happy 🥰
50,You bring up a good point. I really don't mind co existing. I just think religion is a bad thing. So I don't want it near me. But everyone else is free to do whatever makes them happy. I mean that 🥰
51,"I'm a drama queen and I love tragedies, so in a way I like that too 😂Yes, with Tartaglia there would be the same problem... And with Aether too. Come to think of it, I don't even know where to find an immortal boyfriend for Scara💔 Oh, I'll be glad if you share your thoughts 🥰"
52,🥰😂
53,The very last print art from this illustration (9 ex) will be available in in a couple of weeks and then will be retired! I will post those days the illustrations that are almost sold out and will be retired. I hope you like them! 🥰
54,My cousin’s daughter made these little racecar twinkies for Easter and did a special one for me 🥰
55,pf 🥰
56,More flowers because all we're experiencing in Texas is the April showers 😭
57,I love this so much! Happy Easter yet again 🥰
58,is sucha Pisces 🥰 love that for her
59,"Happy Easter Lloyd. I know this Easter will seem different for you and your family, but I hope you can make it a peaceful and reflective one. Thinking of you. 🥰"
60,A little Easter 🐣 walk to the park with my Baby 🥰
61,"Happy Easter! We hope everyone is enjoying today in some way, even those who don't celebrate. As for us... Diluc laid an egg ?! I'm so happy! Can't wait to be a papa 🥰 - K. #kaeluc #ガイディル"
62,آخی 🥹😂🥰
63,Deleted but never forgotten 🥰😒🫠
64,HURRY UP! HURRY UP! HURRY UP! MAKE ME FEEL SOMETHING! OR ELSE I WON'T BUY WHAT YOU ARE SELLING ME! 🥰😍💖❤💕 MAKE MY HEART THROB! MAKE MY HEART ACHE! HURRY HURRY HURRY BEFORE I GET BORED OF U!!!!
65,"U know I had to cauP da sunshine yellow joinT!!! 💛 okay Das enough 4 today.. 2K on dresses 😫😳🤯💥🥰🤭‼️💯 ph7gg it, Royalty is as RoyaLty does!!! 👑👑👑👑👑👑👑"
66,Awe thanks! It was much needed but I am very happy to be home! 🥰
67,Omg ur so prettyy!!🥰
68,Memphis next I’m Excited I never been 🥰
69,so happy for you!!! maybe we can have a double date with me and grommie 🥰
70,Yes!! And Philly loves you ❤️ 🥰
71,Your Zero Two bunny girl is here to wish you a happy Easter ❤️✨ I love Zero Two and make a bunny version of her makes me so happy hihi 🥰❤️ Did u liked my bunny anime version?🌸 📸 Rt to be blessed 🥹
72,"Great, the more the merrier - I am not sure how many it took to take him down but that's the way to go 🥰"
73,💖💖💖🥰
74,"Tiktok banner, 10M radio first week, billboards, high budget mv, website sales, slowed + reverbed version, gag worthy cover art and playlisting pls 🥰"
75,Have a great holiday! 🥰
76,Happy Easter Whiskey and mom and family! ❤🥰❤
77,Heartbreaker 💔❤️❤️‍🔥👠 i feel like these are made for 🥰
78,"If I had to speak about love , I’d tell them about my girlfriends 🥰"
79,*the Queen has entered the chat* IYKYK 🥰
80,"I be in my own lil world, dnt be worried bout nobody literally  it shows 🥰🤗"
81,Adorable isn't she 🥰
82,I'm such a b*tch for period dramas 🥰
83,I’m so glad i know how to cook cook 🥰
84,“Comment below with someone you admire and say something nice! 🥰” Yeaaa there are too many of you. So many of the people who follow me have inspired me so much 💜 have become close friends 💜 and remind me of why I am me 💜 Love you 💕
85,Another performance Friday 🥰
86,😍🤐🥰😀💫 Remember themselves fear floor claim space total. #原味 #黑丝 #女高
87,The beautiful tears of angry Jesus hating jews. 🥰
88,"Easter looked a little different this year, so MJ  I went out and did some exploring/walking! ❤️ sooo happy MJ is an outdoor lover like her mama 🥰"
89,My little sisters make me so proud . Beauty and brains 🫶🏼 Definitely got to take that flight to see my baby walk across that stage in June 🥰
90,Family days are my favourite days 🥰 cooked a lamb dinner and polished it off with Evie performing songs from Frozen ❄ perfect ♥️
91,healthy happy Bebe 😍🥰 so grateful for her! 14 mons into this wild journey- would not trade a moment of it for the world! Huge thnks to Wendy my lactation consultant for being my susperstar and helping me reach my goal of EBF! You have the coolest freaking
92,The paws and the ears are 😍 The smile 🥰 Happy🌷Easter to you and yours Rue!
93,“ i meant to tell you you been looking good “ mhm I know boo 😂🥰
94,unfortunately i don't know anything about wh40k but yes i think you get the idea 🥰
95,Cheers for Liam Kelly 🥰
96,How wonderful life is while you're in the world !🥰
97,fatty was so happy to open all his baskets ☺️
98,you mean ross and rachel ? yeah 🥰
99,For all those celebrating 🥰
100,Good to see you as well 🥰
101,Heartbreaker 💔❤️❤️‍🔥👠 i feel like these are made for 🥰
102,"yesss so true 🥰 im excited to finally get there bc ik how different each tour is  how much ""looser"" they get when they may mess up or mess around w each other on stage from vids I've seen compared to the dna tour lol. im on get weird tour (organization wise lmao)"
103,Me and You I Know 🌚❤️😏
104,"Blustery day in St Andrews, but still one on my favourite places 🥰"
105,Better? Who does not 😱. U look great. 🥰
106,Sheybi iffa enter 600 this might now... I go share ham for my followers... And I dey follow back oo🤲 Abeg carry me enter
107,💋😄👌👋🥰 Can decide information outside once simply first. #制服 #滴蜡 #叫床
108,"And my so. Just got his braces, let’s see if he’ll do this. Knowing how shy he is 💀🤣"
109,You look beautiful 😭🥰
110,Lol you Dey judge by my face 😂😭 you go too fail
111,This woman has been fine forever . At 50 she is perfect 😭😍
112,i'm so endeared by chenle 🥰 he's definitely on my 'list of idols that i care so very deeply for even tho i'm just a casual of that group'
113,MOVIE TYPE OF DAY WITH MY LOVELY MOMMA I LOVE 🥰 SO MUCH 😊🙏🏾
114,❤🥰 if you have other similar ones my ens is always lovegamestop.loopring.eth your art is loved and much appreciated by me ❤😉😎🏴‍☠️🕹
115,Jack and sally chilling in the background 🥰💕
116,It changes a lot but lately I've really been enjoying What I Like and party 4 u 🥰
117,It dies. They deserve a happy ending with a baby of their own. 🥰
118,Easter Sunday is always a beautiful day! 🥰
119,When your man knows your angles🥰
120,"Fabulous pic, sis!! So happy for you!!😘🥰💕"
121,As soon as he gets free from making moas bark.. we'll do it.🥰
122,Happy Easter everyone🐰I hope u had a fun day full of happiness and sweets 🥰
123,I'm having fun 🥰 finally looking masculine enough to dress feminine without feeling uncomfortable
124,Your doggos are so cute 🥰
125,What Ari Say “ I’m Saving This For The Right Time” I STG I Am 😈
126,I see two cuties in pink 🥰💖 I hope you love your pins! Your sister rocks 🩷
127,his happy smile and beautiful eyes 🥰 how could anyone hold his actions against him??
128,My momma made me a separate banana pudding cause I don’t eat bananas and my granny made me a separate potato salad cause I don’t eat eggs! 🥰 this why I act spoiled asf
129,Mmmmm very Beautiful oily Soles and pretty Toes I love them 😍💖💖💖💖👣🌺🌺🌺💋👣💋👣👃🏽👃🏽👃🏽👣👣😜🥰
130,"""But you're so cuuute!"" 🥰"
131,You have a pet rabbit??!! 😍🥰 Happy bunny day!! 🐇
132,You can try though 🥰
133,Most of my favourite ships are so painful to think about expect them 🥰
134,Thank you for being so awesome and putting on a great show !!! 😊🥰💖💖
135,リバプールさんこんばんはありがと～ (人´∀`*)🎶
136,i feel so grateful to have several people in my life arguing over which one of them gets to kill me 🥰
137,Oh Aye! That’s the best part 🥰
138,I love having conversations with Heather! She tells me all about her fashion show and the sewing and dress making she does 🥰 such a talented young lady! And we will never stop raising money for the air ambulance. Keeps my brothers memory alive xx
139,my so screenshotted different angles and shots of her for reference while we were progging this fight 🥰
140,"Happy Easter ✝️🌸☀️💗 2nd pic…I have lost over 24 lbs since Jan 1, weighing monthly! 🤩🥰 And last pic was Kaela at the meet yesterday 💪🏼 She placed 9th out of 24! ✨"
141,I guess😩
142,I love this scene bc S you say he opens up to her and she knows that something is up with him and gently coaxed it out of him 🥰
143,"There is no need to pay much attention to random silly side doodles, but anyway, Thank you very much!🥰✨"
144,Your welcome 🥰❤️
145,I'm listening to Guinney pepper High Grades with Musi! 🔈🔈🔈🔈🔈🔈🎶🎶🎶🎶💨💨💨💨❤️❤️❤️🎤🎤
