ID,Comments
1,Text
2,This is why you’re my favorite! ✨
3,Added this little one to my throne 🥺✨
4,I saw!! 🥰 i knew you wouldn’t
5,Aaahhhh I LOVE It thank you so much 🥰💖❤️💖❤️
6,. ☀️ #おはよう歌舞伎町 ☀️ \ \ 本日も6:00 オープン / / - エルコレ歌舞伎町唯一の2部店舗 - ☀️ #朝コレ ☀️ すぐに初回もご案内可能🥂 皆様のご来店お待ちしております✨ ✅
7,i am so tired y’all 🫡
8,"Introducing Bridge 📷 As you may already know, we have a new #Bridge page on SyncSwap."
9,Imagine if he wasn’t an idol✨ Na Jaemin as the new resident surgeon and you find him in the fire exit on the floor resting after a long 8hrs surgery on his casual clothes about to go home post shift and when you greet him he still smiles at you like this.
10,i love that you absolutely slay will be buying when im not broke from trying to find an outfit 💀💀💀
11,what if i told you i'm a mastermind 🌑✨
12,Please what channel and time?? 😭😭
13,but are we surprised? 😅 glad everyone is safe tho
14,"I legit stopped right before penny died, I didn't know phyrra was dead for the longest time it's almost embarrassing 😭"
15,Looking awesome! 😁
16,but!! Delicious food???? 🫢💖✨
17,"STREAM END! Had a few nice games with and Smill in Apex, then we moved to playing Core Keeper with I am definitely not ✨traumatized✨ from this definitely calming game. Thanks for the raid today too 6 hours and 45 minutes stream today POG"
18,Because my mom is not gay???? Like what? 😭
19,"I had bought a bag that had black beans, brown rice  corn  peppers mixed in  I was making breakfast burritos at first so I took another can of black beans added more rice but wild cause it wasn’t a lot wit more peppers  it’s good as fuck omg🥹"
20,This Candiace  Porsha feud is hilarious too me I don’t think Candiace really want the smoke though 😭🤣 #RHUGT3 #RHUGT
21,Like?? the traditions in the US be so unrelated sometimes 💀
22,OH MY GOSH--- OH THIS IS SO COOL GOSH I CAN'T 😭😭THANK YOU SO MUCH!!! I LIKE IT｡⁠:ﾟ⁠(⁠;⁠´⁠∩⁠`⁠;⁠)ﾟ⁠:⁠｡🤍🤍🤍✨🤍✨🤍✨🤍✨🤍✨✨🤍✨🤍✨🤍✨🤍✨✨🤍✨
23,I swear I always want to cut my hair until I curl it🥰🥰 SelfLove Sunday🫶🏼
24,LMFAOOOOO yea bye idk who let me drink tequila and mimosas 😂
25,Heyyy 😍 I just wanna remind someone that EVERYTHING will be #OK‼️
26,👀 same goes for all the other memorabilia!! (there’s even another buff for when your sim or the other sim is no longer alive)
27,When you have nothing to worry about on the SUI Project Scoreboard 😉 #SUI
28,David party trick and we get it your good with your tongue !!!! 🙄
29,I was joking 😂
30,Just the little bit of my knee you can see twitching when it does it 🤣 probably is tiredness I’ve been non stop all week
31,✨💗 Message of the WEEK. Love the kid… 💗🐣
32,bien tierno ese cubito. 🥰
33,"Awww Claireeeee, you wonderful being - thank you 💚🌱🫶🏼 A reflection of your own beautiful  kind heart 🪞✨"
34,"Hey sexy Prez, what’s up boss 😊"
35,all the best~ have fun. ✨
36,"Okay, we hope you placed your easter eggs 🥚 on the table with such focus. 😄Wishing you a very Happy Easter that is filled with plenty of love and happiness! 😇🐰🐣✨"
37,Not at this hour 😅
38,nice weather again means car shows and Sunday cruise nights 🥰
39,ok this nick nurse hate is too much lmao mans saying he should be a mcd worker like pls 😭
40,the other day i almost slipped and kalled you one of my other bitches .. or whateva trayle  gunna said 🤷🏽‍♀️
41,#oc some character concepts ✨
42,I really hope they become unproblematic forever😭 Their music is too good and the members are funny asl to be horrible😭
43,Not this man really waited now all like he trying to be my man lol give me his first kid and last name 😂 sir
44,Imagine if this is a mv for midnights with speak now Easter eggs 😭😭😭
45,Feel me?🌚😂😂
46,"Ok, now I am on my way over to you! Looks so good✨"
47,I love peacocks so much… they’re an absolute OBSESSION! 🦚
48,It’s waist bead and anklets season come get you some 🤍order this set now get 2 free anklets
49,"Haitian music is lit I’m not gone hold you, y’all did that❤️🇭🇹✨🥹I be in the gym getting it"
50,has a strong community that continues to grow and build #Hoichi ✨⛩️
51,Beautiful Architecture of Barcelona ✨
52,Welcome back 😂♥️♥️
53,i did a tutorial for how to shazam and rn it has 135 views😭
54,What Mam did with the #legendsball will remain one of the best moments in history.🤲🏾✨❤️
55,Getting ready to do a small Easter egg 🥚 hunt 😍😍
56,Y’all I think I’m delusional and I like it here 👀
57,Gute Nacht Claudia. ✨💫
58,wow! it's !!! 🐐✨ check them out!! they've got some INCREDIBLE art!!
59,"Just minted a Silver Shield of Braavos with my domain cyberian.stark 🛡️ Go mint yours for free on if you already have a stark domain or subdomain ! Be quick, it might not last forever 👀"
60,Ikr. Thank you fam. Love you!❤️🤞🏽
61,"✨Visit Geri's💝 YouTube channel and participate in her latest post, which can be found on her community tab✨ 💥#40k #loveWarhammer #Warhammer40k💥"
62,i really do have great skin ✨
63,First holiday to ourselves... How happy it's made me! I can't imagine a more beautiful way to spend Easter weekend ❤️ 45 Goodnight! ✨️
64,Always makes putting in extra time easier when the view from lab is ✨ this ✨. Gotta love Sheffield.
65,I know I know ....✨
66,🐳🐳🐳 NFT Whale Mint ⛏Minter: [🐳Punks OTC] ✨NFT: W#2153 📊Collection: Wrapped Cryptopunks 🛢️Gas: 0.0038 ETH ($6.97)
67,Happy Easter 🐣✨💐💌
68,oh no absolutely!! I fall over enough without a mask affecting my vision 😭😭😂
69,"Only a LOSER ass bitch gonna report shit on MY page, back to a nigga I GAVE to you on a silver platter. Ungrateful ass ugly dyke looking bitch. Now go run and report that 🫡"
70,🤣🤣🤣 I knew someone would say something yall fcks with me
71,"selling a Taylor Swift ticket for London on the 22nd of June (22/06/18) for below face value and at decent seats, pls RT ✨"
72,all eyes on me✨
73,PLEASEEEE WTF.. my man said I aint love him cause I waited until I was in a good mood to converse 😭
74,Is this a surprise wtf😂 yall fine
75,I just listed Inscription #1020289 for 0.02499993 BTC ($703.34) on Check it out! 👇
76,"it's simple and stylish, and crop top supremacy 💗"
77,Always wanted to do this! 💅✨ I had a great time with everyone!
78,Stop forcing unexpected programs on people. We are grown ups🚮
79,Can wait for my edibles to get here 🤗
80,"Also RANDOM thought, but my parents divorced when I was in college. I heard all the loud fighting and bickering my whole life. And it was JUST as bad when they separated bc they BOTH are immature. If y’all can separate w MATURITY, it won’t be as harsh on the girls as u think✨"
81,Why did he look at me like that 😩😮‍💨
