ID,Comments
1,Text
2,HAPPY B'DAY PRETTYYYYY 🤍 BLOOMING KARINA DAY #지민아_마이의_푸른봄은_너야 #Welcome_to_MyKarina
3,Finally. It's wrap. Well done Enigma babies and the whole team. Becareful on the way back home. Have a rest naa 🤍
4,Jennie ruby jane Calvin klein Global ambassador and queen of sold out 🖤🤍
5,juyo in the city of love ❤️
6,AMAZING! 🤍🖤
7,"I salute you! Let me wish you plenty of joy the b-day fun begin. May you be a source of blessings. The sun decided to shine at its glossiest of her b-day. Mirth, gregariousness, and smile witness how bright her existence. Happy Anni-birth-sary lovely Yoo Jimin. 🤍"
8,It’s the hope that kills you! 💙🤍
9,I AM by 🤍🖤🤍🖤
10,low quality pic of a high quality being🫶🏽
11,Do you want to win 18540? All you have to do is be a Hunter 🔎 Goodluck everyone! 🙏
12,"Just had to spell Scars last name at the pharmacy... ""Is that Italian?!"" What gave it away ma'am, the 8 letters or the vowel on the end? 😅😅"
13,I wonder who’s the first member to greet Karina a happy birthday 🤍 or are they drinking 😂 BLOOMING KARINA DAY #지민아_마이의_푸른봄은_너야 #Welcome_to_MyKarina
14,Have a great time girl 🤍
15,Black is indeed beautiful 🤍💫
16,release physical copies and take my money you cowards 🤍🤗
17,will extend until 11:45 🤍
18,Take care 🤍
19,Shit be so funny to me 😂
20,Thank you everyone who voted 💜️
21,First song from #annhideamazaakae releasing on 12 april❤️
22,Since we are witches it’s obviously written in invisible ink 😎🤍
23,"happy birthday karina sayang. You have aged and grown more mature, live your life at 23 years old now with happiness. once again happy birthday 🤍"
24,AHYY BESTIE THANK YOUU SMM IM HONORED TO BE HERE WITH YOU✨✨
25,"⠀ ⠀ ⠀to those who've been interacting with me recently, thank you so much, it truly does mean a lot. 🤍 ⠀ ⠀"
26,I stay otp with destiny and dannny for hourssss😂
27,bro I only wanted to be dramatic TMRW but since i have school and can't therefore be dramatic DRAMATIC I have to be that today hehe so anyways tmrw it's gonna be a year since I saw Louis🙁🙁🤍 but not only that..it's also gonna be a year since I first felt comfortable in +
28,Have a great one 🤍
29,"10/10 for all three of them, I'm absolutely in love with all of those designs 🤍"
30,I would Love for You to ADD those Sun Pics💚🫶☀️⚡️. No Hiding- the World wants ( needs ) to SEE your Light 🙏🤍✨🪞
31,230410 — YJ daily recap Our recap board is so full 🤍 • Twtitter - posted by Gyu 🧸 • YAWNZZN IG update • T:Time Yeonjun in Taipei • TO DO ep 103 • Weverse replies 🥺 • Kundal #YEONJUN #YJupdates
32,"Protect me, my family, and loved ones always, Lord. Thank you po 🤍"
33,"I have no belongings, as free as a balloon for flying to take me to the light, to the only thing I belong to...🔆"
34,ES QUE MIREN AAA PHUPATIAN😭❤ No puedo creer que les vuelvo a veer #OurSkyy2
35,soft and fluffy 🤍🐰☁️
36,"twibbonnya gemes bangettt, happy birthday miu! wishing u nothing but the best, have a blast yaa! 🎀🤍"
37,either way it is still a good choice 🤍
38,I couldn't agree more 💯🌸🤍
39,"I'M STILL PROCESSING EVERYTHING... ACTOR KIM DOYOUNG, YOU'RE ONE OF A KIND😭🤍"
