ID,Comments
1,Text
2,The Prince and Wales and Prince George weren't the only Villa royalty at the game I see Pete 😉Glad you finally got over. Don't leave it so long next time. Don Unai is creating something special here
3,"I’m middle class and my taxes went down, but thank you trailer trash who wants to voice an opinion for me. 😉"
4,"So says troller who displays statistics up to 2018! You don’t like to work much either there Amigo! 😉 Batting 1000 Oh yeah, one more thing… 🖕🏼Bidung Your next President"
5,Wow. Worth the drive 😉
6,"that's me going everywhere, because someone has to be ""the one who wears black"" in the city, right?😉"
7,"and some #Budapest #Easter2023 folklore for you from 😉 #ChainBridge 🦁 replaced with🐰, #Castle in the background 🏰🇭🇺❤️"
8,Dre getting burned alive was an amazing end to that damn cockroach. 😂😂😂 For years I've been PATIENTLY WAITING for Saxe's conclusion. 😉
9,Like It👍 from Cat Health Supplies in Amazon SalesRank No.1😉 Vet’s Best Enzymatic Dog Toothpaste | T… SOOTHING AND EFFECTIVE - Vet’s Best Enzymatic Dental Gel Toothpaste is a…
10,I think someone should loose their hands 😉😉
11,I can see why they make you 🤗 suits you! 😉😘
12,"I still liked the scruff, but your cuteness hasn't changed one bit. 😉"
13,#HappyEaster 🐰 Check out the Word of the Week! Learn a new word  sentence in English  Spanish each week ♥ 😉 #education #onlinelearning #tutoringservices #onlineclasses #childrensbooks #childrenactivities #teachingtips
14,"Erm, it was arabs (India) who created Mathematics, hence the term 'Arabic numbers'. You could argue mud huts are 'Architecture' 😉 Portugal introduced Africa to the wheel and 100s of years later they went back and they still hadn't figured out how to utilise it."
15,Three blacks. And I’m sure they all vote for Trump right? Of course they do😉
16,"Solar power bank out charging phones and speaker, vape on the go with a triple sec mixed with tropical crush 😉"
17,"He is a gay guy or serving their 'cause' ? Why r u surprised on his stance? This evil started when rabid, militant third-wave feminists made 'alliances' with social outcasts to grab power in order to change laws in Western society. U r witnessing the 40 yrs of slippery sloping😉"
18,You can deal with him 😉💪😊
19,Not really bad though😉
