emoji name,num of tweeter
backhand_index_pointing_right,19580
check_mark,19985
check_mark_button,19997
clown_face,19626
cooking,11946
egg,19151
enraged_face,19886
eyes,19696
face_holding_back_tears,19883
face_savoring_food,19529
face_with_steam_from_nose,19664
face_with_tears_of_joy,19984
fearful_face,19910
fire,18056
folded_hands,19688
ghost,14655
grinning_face_with_sweat,19978
hatching_chick,19743
hot_face,19311
loudly_crying_face,19968
melting_face,19651
middle_finger,18883
partying_face,19148
party_popper,19326
pile_of_poo,19627
rabbit,18840
rabbit_face,18869
red_heart,18187
rolling_on_the_floor_laughing,19980
saluting_face,19588
skull,19510
smiling_face,19730
smiling_face_with_halo,18608
smiling_face_with_heart-eyes,19685
smiling_face_with_hearts,19594
smiling_face_with_sunglasses,18815
smiling_face_with_tear,19934
sparkles,15382
sun,17647
thinking_face,19899
thumbs_up,19866
white_heart,17133
winking_face,19696
